scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9408393039918117,0.5,0,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.2101603000010073,0.0114,0.8335900137796871,0.9575418994413408,0.8912770290765698,0.9625546546972522,39544,456,2053,10284,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8023979709476596,4337,0.99475,4000,0.70625,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9408393039918117,0.5,0,recalibrated,0.4146666666666667,30000,0,0.0,,,0.0,0.0,1.2101603000010073,0.009975,0.8296182216097917,0.9624788414519466,0.8911235906142527,0.9625546546972522,39601,399,2102,10235,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.99475,4000,0.69625,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9349027635619243,0.5,1,fixed,0.396,31500,1500,0.047619047619047616,0.40583292663952375,0.0,0.019888084357963878,0.00021050000214017928,1.568301600000268,0.004375,0.8399124584582962,0.9833918572648761,0.9060068199702719,0.9539353003161223,39825,175,1975,10362,1500,22867.0,16435511.0,63340.499512,1500,22867.0,16435511.0,63340.499512,True,False,0.7851049112289601,4337,0.9945,4000,0.74475,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9349027635619243,0.5,1,recalibrated,0.3103349754271347,31500,1500,0.047619047619047616,0.40583292663952375,0.0,0.019888084357963878,0.00021050000214017928,1.568301600000268,0.009725,0.8538542595444597,0.9643870731484024,0.9057609630266551,0.9539353003161223,39611,389,1803,10534,1500,22867.0,16435511.0,63340.499512,1500,22867.0,16435511.0,63340.499512,True,False,0.8217661978326032,4337,0.9955,4000,0.747,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.939611054247697,0.5,2,fixed,0.396,33000,3000,0.09090909090909091,0.41005228027310825,0.0,0.0393900308310796,0.00013800000306218863,1.6351327000011224,0.00475,0.8348869255086325,0.9818875119161106,0.9024400928724755,0.9429256352841048,39810,190,2037,10300,3000,49351.0,36996680.0,128408.259197,1500,26484.0,20561169.0,65067.759685,True,False,0.7733456306202444,4337,0.9945,4000,0.742,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.939611054247697,0.5,2,recalibrated,0.31666666666666665,33000,3000,0.09090909090909091,0.41005228027310825,0.0,0.0393900308310796,0.00013800000306218863,1.6351327000011224,0.01,0.8449379914079598,0.9630450849963045,0.9001338456888734,0.9429256352841048,39600,400,1913,10424,3000,49351.0,36996680.0,128408.259197,1500,26484.0,20561169.0,65067.759685,True,False,0.7996310813926677,4337,0.9955,4000,0.7435,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9310133060388945,0.5,3,fixed,0.396,34500,4500,0.13043478260869565,0.41332780585960566,0.0,0.05837967917397578,0.0001545999984955415,1.6928741000010632,0.0049,0.8405609143227689,0.9814499337497634,0.9055582238134743,0.9458004964740212,39804,196,1967,10370,4500,77782.0,53551433.0,194962.798428,1500,28431.0,16554753.0,66554.539231,True,False,0.7857966336177081,4337,0.99525,4000,0.74525,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9310133060388945,0.5,3,recalibrated,0.33466666666666667,34500,4500,0.13043478260869565,0.41332780585960566,0.0,0.05837967917397578,0.0001545999984955415,1.6928741000010632,0.00925,0.850449866255978,0.9659362916589946,0.9045217466270097,0.9458004964740212,39630,370,1845,10492,4500,77782.0,53551433.0,194962.798428,1500,28431.0,16554753.0,66554.539231,True,False,0.8127738067788794,4337,0.9955,4000,0.74625,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9336745138178096,0.5,4,fixed,0.396,36000,6000,0.16666666666666666,0.40884210409110344,0.0,0.07558773138928686,0.00013589999798568897,1.7965771000017412,0.005375,0.8364270081867553,0.9795898993734574,0.9023654409514232,0.9747220019048392,39785,215,2018,10319,6000,101263.0,69349591.0,256816.920248,1500,23481.0,15798158.0,61854.12182,True,False,0.7666589808623473,4337,0.9955,4000,0.753,4000,,1.0,cicids,8.0,2.0,all
junk,rf,1,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9336745138178096,0.5,4,recalibrated,0.3348874249261644,36000,6000,0.16666666666666666,0.40884210409110344,0.0,0.07558773138928686,0.00013589999798568897,1.7965771000017412,0.00905,0.840641971305828,0.9662722444796422,0.8990897269180754,0.9747220019048392,39638,362,1966,10371,6000,101263.0,69349591.0,256816.920248,1500,23481.0,15798158.0,61854.12182,True,False,0.7772653908231496,4337,0.99575,4000,0.75425,4000,,1.0,cicids,8.0,2.0,all
