scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.5,0,fixed,0.396,30000,0,0.0,,,0.0,0.0,1.2358918999998423,0.0114,0.8335900137796871,0.9575418994413408,0.8912770290765698,0.9625546546972522,39544,456,2053,10284,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8023979709476596,4337,0.99475,4000,0.70625,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.5,0,recalibrated,0.4146666666666667,30000,0,0.0,,,0.0,0.0,1.2358918999998423,0.009975,0.8296182216097917,0.9624788414519466,0.8911235906142527,0.9625546546972522,39601,399,2102,10235,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.99475,4000,0.69625,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9349027635619243,0.5,1,fixed,0.396,31500,1500,0.047619047619047616,0.15266666666666667,0.8473333333333334,0.00757550696351186,0.16353500000332133,1.5298550999978033,0.0048,0.8434789657128962,0.9818833742215513,0.9074340527577938,0.9588244244954203,39808,192,1931,10406,1500,22867.0,16435511.0,63340.499512,1500,22867.0,16435511.0,63340.499512,True,False,0.7980170624855891,4337,0.995,4000,0.74125,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9349027635619243,0.5,1,recalibrated,0.21909117941232126,31500,1500,0.047619047619047616,0.15266666666666667,0.8473333333333334,0.00757550696351186,0.16353500000332133,1.5298550999978033,0.009975,0.8653643511388506,0.9639729119638826,0.9120109345634716,0.9588244244954203,39601,399,1661,10676,1500,22867.0,16435511.0,63340.499512,1500,22867.0,16435511.0,63340.499512,True,False,0.8501268157712705,4337,0.99625,4000,0.751,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.939611054247697,0.5,2,fixed,0.396,33000,3000,0.09090909090909091,0.148,0.852,0.014584154513204573,0.17759989999831305,1.4954502000000502,0.004575,0.8475318148658507,0.9827991352570731,0.91016713091922,0.9672854502715409,39817,183,1881,10456,3000,49351.0,36996680.0,128408.259197,1500,26484.0,20561169.0,65067.759685,True,False,0.8095457689647222,4337,0.99475,4000,0.7415,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.939611054247697,0.5,2,recalibrated,0.29408672408672404,33000,3000,0.09090909090909091,0.148,0.852,0.014584154513204573,0.17759989999831305,1.4954502000000502,0.009425,0.8555564561887007,0.9655140870837907,0.9072156087498389,0.9672854502715409,39623,377,1782,10555,3000,49351.0,36996680.0,128408.259197,1500,26484.0,20561169.0,65067.759685,True,False,0.827991699331335,4337,0.9955,4000,0.7455,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9310133060388945,0.5,3,fixed,0.396,34500,4500,0.13043478260869565,0.15155555555555555,0.8484444444444444,0.022228016426569325,0.1779874999956519,1.6123214999970514,0.004575,0.8448569344249007,0.9827456156892325,0.9085995728544655,0.9580139894220637,39817,183,1914,10423,4500,77782.0,53551433.0,194962.798428,1500,28431.0,16554753.0,66554.539231,True,False,0.798708784874337,4337,0.99525,4000,0.7445,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9310133060388945,0.5,3,recalibrated,0.2773333333333333,34500,4500,0.13043478260869565,0.15155555555555555,0.8484444444444444,0.022228016426569325,0.1779874999956519,1.6123214999970514,0.01,0.8593661343924779,0.9636429740047264,0.908522216033249,0.9580139894220637,39600,400,1735,10602,4500,77782.0,53551433.0,194962.798428,1500,28431.0,16554753.0,66554.539231,True,False,0.8330643301821535,4337,0.996,4000,0.75125,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9336745138178096,0.5,4,fixed,0.396,36000,6000,0.16666666666666666,0.14983333333333335,0.8501666666666666,0.029094792711738243,0.15881530000115163,1.6804681000030541,0.004525,0.8385344897462916,0.982804484134524,0.9049556051261863,0.969920387857664,39819,181,1992,10345,6000,101263.0,69349591.0,256816.920248,1500,23481.0,15798158.0,61854.12182,True,False,0.7823380216739682,4337,0.99575,4000,0.74225,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9336745138178096,0.5,4,recalibrated,0.24666666666666667,36000,6000,0.16666666666666666,0.14983333333333335,0.8501666666666666,0.029094792711738243,0.15881530000115163,1.6804681000030541,0.00985,0.8590419064602416,0.964155749636099,0.908568734193493,0.969920387857664,39606,394,1739,10598,6000,101263.0,69349591.0,256816.920248,1500,23481.0,15798158.0,61854.12182,True,False,0.8298362923679963,4337,0.99575,4000,0.754,4000,,1.0,cicids,,,
junk,rf,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9289662231320368,0.5,5,fixed,0.396,37500,7500,0.2,0.1488,0.8512,0.03586579251831855,0.156427400001121,1.7589547999996284,0.015425,0.8421009970008916,0.9439396692713066,0.8901169515486441,0.946057543365486,39383,617,1948,10389,7500,124200.0,85947381.0,322294.690866,1500,22937.0,16597790.0,65477.770618,True,False,0.7915609868572746,4337,0.9955,4000,0.7435,4000,,1.0,cicids,,,
