scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.05,0,fixed,0.42333333333333334,30000,0,0.0,,,0.0,0.0,1.2600123999982316,0.0079,0.8184323579476371,0.9696533179679248,0.8876483516483515,0.9692105161303396,39684,316,2240,10097,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7945584505418493,4337,0.995,4000,0.66775,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.05,0,recalibrated,0.3502222222222222,30000,0,0.0,,,0.0,0.0,1.2600123999982316,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.05,1,fixed,0.42333333333333334,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.3799999326001853e-05,1.382362699998339,0.019775,0.8412904271703007,0.9291853178155774,0.8830561109456757,0.9744798917889276,39209,791,1958,10379,79,1289.0,491855.0,3565.942992,79,1289.0,491855.0,3565.942992,True,False,0.7970947659672585,4337,0.99475,4000,0.73575,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.05,1,recalibrated,0.552,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.3799999326001853e-05,1.382362699998339,0.009725,0.8288076517792008,0.9633502920670812,0.8910287133458238,0.9744798917889276,39611,389,2112,10225,79,1289.0,491855.0,3565.942992,79,1289.0,491855.0,3565.942992,True,False,0.775651371916071,4337,0.99425,4000,0.721,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.05,2,fixed,0.42333333333333334,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,3.060000017285347e-05,1.4607135000005655,0.0041,0.842425224933128,0.9844652836980202,0.9079234733991438,0.9283090145497285,39836,164,1944,10393,158,2882.0,1138427.0,6911.7855739999995,79,1593.0,646572.0,3345.842582,True,False,0.7957113211897625,4337,0.99525,4000,0.74025,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.05,2,recalibrated,0.26400769732162677,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,3.060000017285347e-05,1.4607135000005655,0.0092,0.8551511712734052,0.9662941930756549,0.9073317566114815,0.9283090145497285,39632,368,1787,10550,158,2882.0,1138427.0,6911.7855739999995,79,1593.0,646572.0,3345.842582,True,False,0.8189993082776112,4337,0.996,4000,0.7535,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.938792221084954,0.05,3,fixed,0.42333333333333334,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,2.0700001186924055e-05,1.4733957999997074,0.010075,0.8429115668314825,0.9626920940566561,0.8988288171485371,0.9466441335008511,39597,403,1938,10399,237,3886.0,1629882.0,10455.23482,79,1004.0,491455.0,3543.449246,True,False,0.7961724694489278,4337,0.99475,4000,0.74175,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.938792221084954,0.05,3,recalibrated,0.43,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,2.0700001186924055e-05,1.4733957999997074,0.009675,0.8428305098484234,0.9641168289290681,0.8994031658161059,0.9466441335008511,39613,387,1939,10398,237,3886.0,1629882.0,10455.23482,79,1004.0,491455.0,3543.449246,True,False,0.7959418953193451,4337,0.99475,4000,0.74175,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9301944728761515,0.05,4,fixed,0.42333333333333334,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,2.3600001441081986e-05,1.5622726999972656,0.01125,0.8352111534408689,0.9581551050771806,0.8924689272876879,0.9640712369295615,39550,450,2033,10304,316,4987.0,2215964.0,14004.304194,79,1101.0,586082.0,3549.069374,True,False,0.773576204749827,4337,0.99475,4000,0.7425,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9301944728761515,0.05,4,recalibrated,0.44199999999999995,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,2.3600001441081986e-05,1.5622726999972656,0.009525,0.8330226148982735,0.9642522049164947,0.8938464883670363,0.9640712369295615,39619,381,2060,10277,316,4987.0,2215964.0,14004.304194,79,1101.0,586082.0,3549.069374,True,False,0.7698870186765044,4337,0.9945,4000,0.74,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.05,5,fixed,0.42333333333333334,30395,395,0.01299555848001316,1.0,0.0,0.01299555848001316,5.500000042957254e-05,1.5435361999989254,0.01165,0.8310772473048553,0.9565257953167273,0.8893997224149897,0.9667775532949664,39534,466,2084,10253,395,6191.0,3746070.0,17262.149715,79,1204.0,1530106.0,3257.845521,True,False,0.7636615171777726,4337,0.99475,4000,0.7405,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.05,5,recalibrated,0.505,30395,395,0.01299555848001316,1.0,0.0,0.01299555848001316,5.500000042957254e-05,1.5435361999989254,0.009675,0.8206208964902326,0.9631814289791647,0.886204481792717,0.9667775532949664,39613,387,2213,10124,395,6191.0,3746070.0,17262.149715,79,1204.0,1530106.0,3257.845521,True,False,0.7461378833294904,4337,0.99425,4000,0.72775,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9361310133060389,0.05,6,fixed,0.42333333333333334,30474,474,0.015554242961212838,1.0,0.0,0.015554242961212838,1.6500001947861165e-05,1.5740747999989253,0.0202,0.8330226148982735,0.9271087054578259,0.8775510204081632,0.9350090875010132,39192,808,2060,10277,474,8157.0,4332959.0,19911.028566,79,1966.0,586889.0,2648.878851,True,False,0.7645838136961033,4337,0.99575,4000,0.7445,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9361310133060389,0.05,6,recalibrated,0.5135301019309163,30474,474,0.015554242961212838,1.0,0.0,0.015554242961212838,1.6500001947861165e-05,1.5740747999989253,0.009,0.8273486260841372,0.9659316740796821,0.8912853650017464,0.9350090875010132,39640,360,2130,10207,474,8157.0,4332959.0,19911.028566,79,1966.0,586889.0,2648.878851,True,False,0.7560525709015449,4337,0.99425,4000,0.73775,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9367451381780962,0.05,7,fixed,0.42333333333333334,30553,553,0.01809969561090564,1.0,0.0,0.01809969561090564,4.220000118948519e-05,1.5724050999997417,0.0094,0.8338331847288644,0.9647378786457845,0.8945217391304348,0.9784140947961417,39624,376,2050,10287,553,9272.0,4770984.0,23321.957546,79,1115.0,438025.0,3410.92898,True,False,0.7703481669356698,4337,0.99425,4000,0.74225,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9367451381780962,0.05,7,recalibrated,0.4093333333333333,30553,553,0.01809969561090564,1.0,0.0,0.01809969561090564,4.220000118948519e-05,1.5724050999997417,0.00985,0.8351300964578099,0.9631672431522856,0.8945906051923244,0.9784140947961417,39606,394,2034,10303,553,9272.0,4770984.0,23321.957546,79,1115.0,438025.0,3410.92898,True,False,0.7726539082314964,4337,0.995,4000,0.743,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9377686796315251,0.05,8,fixed,0.42333333333333334,30632,632,0.02063201880386524,1.0,0.0,0.02063201880386524,2.439999661874026e-05,1.6011972000014794,0.004425,0.834319526627219,0.9830945558739255,0.9026176173981671,0.964658440058361,39823,177,2044,10293,632,10329.0,5517026.0,26319.609774,79,1057.0,746042.0,2997.652228,True,False,0.7701175928060872,4337,0.995,4000,0.74325,4000,,1.0,cicids,,,
junk,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9377686796315251,0.05,8,recalibrated,0.28933333333333333,30632,632,0.02063201880386524,1.0,0.0,0.02063201880386524,2.439999661874026e-05,1.6011972000014794,0.009825,0.8480992137472644,0.9637988209285188,0.9022549907299616,0.964658440058361,39607,393,1874,10463,632,10329.0,5517026.0,26319.609774,79,1057.0,746042.0,2997.652228,True,False,0.8053954346322343,4337,0.99525,4000,0.74725,4000,,1.0,cicids,,,
