scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.2,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,1.0106529999975464,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.2,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,1.0106529999975464,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9389969293756397,0.2,1,fixed,0.7930201292037964,30375,375,0.012345679012345678,0.16,0.84,0.001996007984031936,0.056153099994844524,0.8366538000009314,0.000375,0.8180270730323418,0.9985158800831108,0.8993049367314205,0.9862206249493394,39985,15,2245,10092,375,5815.0,5168371.0,14931.91318,375,5815.0,5168371.0,14931.91318,True,False,0.7290753977403736,4337,0.99475,4000,0.73775,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9389969293756397,0.2,1,recalibrated,0.2160216122865677,30375,375,0.012345679012345678,0.16,0.84,0.001996007984031936,0.056153099994844524,0.8366538000009314,0.008375,0.8518278349679825,0.9691073404647731,0.906690824382037,0.9862206249493394,39665,335,1828,10509,375,5815.0,5168371.0,14931.91318,375,5815.0,5168371.0,14931.91318,True,False,0.8139266774267927,4337,0.996,4000,0.74875,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.2,2,fixed,0.7930201292037964,30750,750,0.024390243902439025,0.15066666666666667,0.8493333333333334,0.003752532128980839,0.046266699999250704,0.7837978999996267,0.0005,0.8253222015076599,0.998039600078416,0.9035005989617995,0.9863612000486341,39980,20,2155,10182,750,11206.0,8779241.0,31611.394616999998,375,5391.0,3610870.0,16679.481437,True,False,0.7560525709015449,4337,0.99325,4000,0.7325,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.2,2,recalibrated,0.13243317604064941,30750,750,0.024390243902439025,0.15066666666666667,0.8493333333333334,0.003752532128980839,0.046266699999250704,0.7837978999996267,0.00955,0.8707951690038097,0.9656629213483146,0.915778705992669,0.9863612000486341,39618,382,1594,10743,750,11206.0,8779241.0,31611.394616999998,375,5391.0,3610870.0,16679.481437,True,False,0.8611943739912382,4337,0.9965,4000,0.7555,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9344933469805528,0.2,3,fixed,0.7930201292037964,31125,1125,0.03614457831325301,0.15022222222222223,0.8497777777777777,0.005601776658159038,0.04032759999972768,0.7868272000014258,0.00025,0.8116235713706735,0.9990022947221391,0.8956171735241503,0.9860761570884332,39990,10,2324,10013,1125,16806.0,15381736.0,48329.088626,375,5600.0,6602495.0,16717.694009,True,False,0.7092460225962647,4337,0.99425,4000,0.74,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9344933469805528,0.2,3,recalibrated,0.27184876799583435,31125,1125,0.03614457831325301,0.15022222222222223,0.8497777777777777,0.005601776658159038,0.04032759999972768,0.7868272000014258,0.009425,0.8510983221204507,0.9653397076399742,0.9046265184802273,0.9860761570884332,39623,377,1837,10500,1125,16806.0,15381736.0,48329.088626,375,5600.0,6602495.0,16717.694009,True,False,0.8155406963338714,4337,0.9955,4000,0.74525,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9381780962128966,0.2,4,fixed,0.7930201292037964,31500,1500,0.047619047619047616,0.14533333333333334,0.8546666666666667,0.007214243166324707,0.04107289999956265,0.7635073999990709,0.000375,0.8165680473372781,0.9985132322331252,0.8984214750735752,0.9860084218205398,39985,15,2263,10074,1500,22138.0,19509683.0,62213.598584,375,5332.0,4127947.0,13884.509958,True,False,0.7316117131657828,4337,0.99425,4000,0.731,4000,,1.0,cicids,,,
junk,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9381780962128966,0.2,4,recalibrated,0.1894478052854538,31500,1500,0.047619047619047616,0.14533333333333334,0.8546666666666667,0.007214243166324707,0.04107289999956265,0.7635073999990709,0.0098,0.8557996271378779,0.9642009132420092,0.9067720187228927,0.9860084218205398,39608,392,1779,10558,1500,22138.0,19509683.0,62213.598584,375,5332.0,4127947.0,13884.509958,True,False,0.8183075858888633,4337,0.9965,4000,0.75575,4000,,1.0,cicids,,,
