scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.2,0,fixed,0.32942160964012146,30000,0,0.0,,,0.0,0.0,0.7232751000010467,0.012675,0.8043284428953554,0.9513902205177373,0.8717002679316554,0.9834592121261246,39493,507,2414,9923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8102374913534701,4337,0.99475,4000,0.6075,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.2,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,0.7232751000010467,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.2,1,fixed,0.32942160964012146,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,1.5400000847876072e-05,0.824590200001694,0.005025,0.8445327064926643,0.9810734463276836,0.9076969987367686,0.9862787640836508,39799,201,1918,10419,375,6150.0,3009400.0,14968.331917,375,6150.0,3009400.0,14968.331917,True,False,0.7961724694489278,4337,0.99575,4000,0.74575,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.2,1,recalibrated,0.19456902146339417,30375,375,0.012345679012345678,1.0,0.0,0.012345679012345678,1.5400000847876072e-05,0.824590200001694,0.008975,0.8541784874766961,0.9670551527943471,0.9071188775071016,0.9862787640836508,39641,359,1799,10538,375,6150.0,3009400.0,14968.331917,375,6150.0,3009400.0,14968.331917,True,False,0.8208439013142725,4337,0.99625,4000,0.74825,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9400204708290686,0.2,2,fixed,0.32942160964012146,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,1.8599999748403206e-05,0.7441837000005762,0.0154,0.8408040852719462,0.943943943943944,0.8893938094829804,0.9874985278025452,39384,616,1964,10373,750,11581.0,6532589.0,28778.738328,375,5431.0,3523189.0,13810.406411,True,False,0.7867189301360388,4337,0.996,4000,0.74425,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9400204708290686,0.2,2,recalibrated,0.4847395420074463,30750,750,0.024390243902439025,1.0,0.0,0.024390243902439025,1.8599999748403206e-05,0.7441837000005762,0.008825,0.831644646186269,0.9667389051163667,0.8941176470588235,0.9874985278025452,39647,353,2077,10260,750,11581.0,6532589.0,28778.738328,375,5431.0,3523189.0,13810.406411,True,False,0.7625086465298594,4337,0.994,4000,0.74425,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9373592630501535,0.2,3,fixed,0.32942160964012146,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.59000007645227e-05,0.7677433999997447,0.0143,0.8368322931020508,0.947503671071953,0.8887358498687212,0.9881031804733728,39428,572,2013,10324,1125,16665.0,9043752.0,43871.30134,375,5084.0,2511163.0,15092.563012,True,False,0.7744985012681577,4337,0.9945,4000,0.74675,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9373592630501535,0.2,3,recalibrated,0.4007883071899414,31125,1125,0.03614457831325301,1.0,0.0,0.03614457831325301,2.59000007645227e-05,0.7677433999997447,0.0088,0.8326983869660372,0.9668705882352941,0.8947826844351537,0.9881031804733728,39648,352,2064,10273,1125,16665.0,9043752.0,43871.30134,375,5084.0,2511163.0,15092.563012,True,False,0.7636615171777726,4337,0.9945,4000,0.74575,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9289662231320368,0.2,4,fixed,0.32942160964012146,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.3799999326001853e-05,0.7430581000007805,0.008975,0.8357785523222826,0.9663542642924087,0.8963358977702439,0.9882927038583124,39641,359,2026,10311,1500,22243.0,13548250.0,59966.660891,375,5578.0,4504498.0,16095.359551,True,False,0.772192759972331,4337,0.995,4000,0.7455,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9289662231320368,0.2,4,recalibrated,0.33636388182640076,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.3799999326001853e-05,0.7430581000007805,0.008975,0.8357785523222826,0.9663542642924087,0.8963358977702439,0.9882927038583124,39641,359,2026,10311,1500,22243.0,13548250.0,59966.660891,375,5578.0,4504498.0,16095.359551,True,False,0.772192759972331,4337,0.995,4000,0.7455,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9385875127942682,0.2,5,fixed,0.32942160964012146,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,1.5499997971346602e-05,0.7562767999988864,0.01945,0.8382102618140553,0.9300296789279612,0.8817360163710778,0.9847105151171274,39222,778,1996,10341,1875,28673.0,17085459.0,75900.113406,375,6430.0,3537209.0,15933.452515,True,False,0.7774959649527323,4337,0.99525,4000,0.747,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9385875127942682,0.2,5,recalibrated,0.5623661875724792,31875,1875,0.058823529411764705,1.0,0.0,0.058823529411764705,1.5499997971346602e-05,0.7562767999988864,0.00985,0.8165680473372781,0.9623614826136798,0.8834904626178468,0.9847105151171274,39606,394,2263,10074,1875,28673.0,17085459.0,75900.113406,375,6430.0,3537209.0,15933.452515,True,False,0.7203135808162324,4337,0.9945,4000,0.743,4000,,1.0,cicids,,,
