scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9363357215967246,0.5,0,fixed,0.32942160964012146,30000,0,0.0,,,0.0,0.0,0.7299383999998099,0.012675,0.8043284428953554,0.9513902205177373,0.8717002679316554,0.9834592121261246,39493,507,2414,9923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8102374913534701,4337,0.99475,4000,0.6075,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9363357215967246,0.5,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,0.7299383999998099,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9363357215967246,0.5,1,fixed,0.32942160964012146,31500,1500,0.047619047619047616,0.9946666666666667,0.005333333333333333,0.04737711164740251,0.5210603999985324,0.7716014000034193,0.005025,0.8383723757801734,0.9809370257966616,0.9040688781084742,0.9902681496717192,39799,201,1994,10343,1500,25957.0,16005438.0,64514.356701,1500,25957.0,16005438.0,64514.356701,True,False,0.7747290753977404,4337,0.99575,4000,0.75,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9363357215967246,0.5,1,recalibrated,0.24876858294010162,31500,1500,0.047619047619047616,0.9946666666666667,0.005333333333333333,0.04737711164740251,0.5210603999985324,0.7716014000034193,0.008425,0.8421820539839507,0.9685839470495012,0.9009712105445715,0.9902681496717192,39663,337,1947,10390,1500,25957.0,16005438.0,64514.356701,1500,25957.0,16005438.0,64514.356701,True,False,0.7839520405810468,4337,0.99625,4000,0.75125,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9381780962128966,0.5,2,fixed,0.32942160964012146,33000,3000,0.09090909090909091,0.9996666666666667,0.0003333333333333333,0.09088154186490499,0.4676712000000407,0.7685314999980619,0.0073,0.8351300964578099,0.9724398301085417,0.89856968428397,0.9851034580935397,39708,292,2034,10303,3000,47799.0,34029773.0,122976.126861,1500,21842.0,18024335.0,58461.77016,True,False,0.7694258704173391,4337,0.995,4000,0.7465,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9381780962128966,0.5,2,recalibrated,0.28523141145706177,33000,3000,0.09090909090909091,0.9996666666666667,0.0003333333333333333,0.09088154186490499,0.4676712000000407,0.7685314999980619,0.00985,0.8367512361189916,0.9632359802183447,0.8955495792487204,0.9851034580935397,39606,394,2014,10323,3000,47799.0,34029773.0,122976.126861,1500,21842.0,18024335.0,58461.77016,True,False,0.7738067788794097,4337,0.995,4000,0.74675,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9338792221084954,0.5,3,fixed,0.32942160964012146,34500,4500,0.13043478260869565,0.9991111111111111,0.0008888888888888889,0.1303339517625232,0.49098720000256435,0.8148671000017202,0.018525,0.8358596093053416,0.932959377544558,0.881744335185977,0.9860262969117289,39259,741,2025,10312,4500,70216.0,53684100.0,187386.337321,1500,22417.0,19654327.0,64410.21046,True,False,0.7701175928060872,4337,0.996,4000,0.747,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9338792221084954,0.5,3,recalibrated,0.3998050093650818,34500,4500,0.13043478260869565,0.9991111111111111,0.0008888888888888889,0.1303339517625232,0.49098720000256435,0.8148671000017202,0.0094,0.828969765745319,0.9645383382061681,0.8916303400174368,0.9860262969117289,39624,376,2110,10227,4500,70216.0,53684100.0,187386.337321,1500,22417.0,19654327.0,64410.21046,True,False,0.7542079778648836,4337,0.99525,4000,0.74375,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9248720573183213,0.5,4,fixed,0.32942160964012146,36000,6000,0.16666666666666666,0.9991666666666666,0.0008333333333333334,0.16655090984859008,0.5044803999990108,0.8574838999993517,0.00175,0.8304287914403826,0.9932137663596704,0.9045558891047148,0.9931910209127016,39930,70,2092,10245,6000,95383.0,74913684.0,251431.558082,1500,25167.0,21229584.0,64045.220761,True,False,0.7521328106986396,4337,0.99575,4000,0.75,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9248720573183213,0.5,4,recalibrated,0.13951143622398376,36000,6000,0.16666666666666666,0.9991666666666666,0.0008333333333333334,0.16655090984859008,0.5044803999990108,0.8574838999993517,0.01,0.8561238550701142,0.9635103083378945,0.9066483540066098,0.9931910209127016,39600,400,1775,10562,6000,95383.0,74913684.0,251431.558082,1500,25167.0,21229584.0,64045.220761,True,False,0.8100069172238875,4337,0.9965,4000,0.76575,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9291709314227227,0.5,5,fixed,0.32942160964012146,37500,7500,0.2,0.9993333333333333,0.0006666666666666666,0.19989331910921457,0.5184397999983048,0.9125978000010946,0.00535,0.8334278998135689,0.9796112804878049,0.9006262865151317,0.991763930655751,39786,214,2055,10282,7500,122554.0,90741717.0,315506.118214,1500,27171.0,15828033.0,64074.560132,True,False,0.761355775881946,4337,0.99575,4000,0.74925,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9291709314227227,0.5,5,recalibrated,0.15860961377620697,37500,7500,0.2,0.9993333333333333,0.0006666666666666666,0.19989331910921457,0.5184397999983048,0.9125978000010946,0.009925,0.8464780740860826,0.9633763837638376,0.9011520041420372,0.991763930655751,39603,397,1894,10443,7500,122554.0,90741717.0,315506.118214,1500,27171.0,15828033.0,64074.560132,True,False,0.7945584505418493,4337,0.99675,4000,0.7525,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9267144319344933,0.5,6,fixed,0.32942160964012146,39000,9000,0.23076923076923078,0.9996666666666667,0.0003333333333333333,0.23071005461958613,0.6076316999970004,0.9558552999988024,0.002175,0.8231336629650644,0.9915055653192736,0.8995083927543293,0.9914868961254762,39913,87,2182,10155,9000,147984.0,108369185.0,379559.299275,1500,25430.0,17627468.0,64053.181061,True,False,0.7279225270924602,4337,0.996,4000,0.7535,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9267144319344933,0.5,6,recalibrated,0.1833052784204483,39000,9000,0.23076923076923078,0.9996666666666667,0.0003333333333333333,0.23071005461958613,0.6076316999970004,0.9558552999988024,0.00995,0.844208478560428,0.9631924535281605,0.8997840172786178,0.9914868961254762,39602,398,1922,10415,9000,147984.0,108369185.0,379559.299275,1500,25430.0,17627468.0,64053.181061,True,False,0.7765736684344017,4337,0.997,4000,0.76475,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9236438075742067,0.5,7,fixed,0.32942160964012146,40500,10500,0.25925925925925924,0.9995238095238095,0.0004761904761904762,0.2591677984936412,0.5737761000018509,0.9850723000017751,0.001775,0.8198103266596417,0.9930289641629848,0.898144036941657,0.9941543487071411,39929,71,2223,10114,10500,174860.0,123368327.0,443739.696325,1500,26876.0,14999142.0,64180.39705,True,False,0.7184689877795711,4337,0.996,4000,0.7535,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9236438075742067,0.5,7,recalibrated,0.1597406566143036,40500,10500,0.25925925925925924,0.9995238095238095,0.0004761904761904762,0.2591677984936412,0.5737761000018509,0.9850723000017751,0.01,0.8564480830023506,0.963523618457049,0.9068360296957473,0.9941543487071411,39600,400,1771,10566,10500,174860.0,123368327.0,443739.696325,1500,26876.0,14999142.0,64180.39705,True,False,0.790638690338944,4337,0.997,4000,0.78725,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9275332650972364,0.5,8,fixed,0.32942160964012146,42000,12000,0.2857142857142857,0.9998333333333334,0.00016666666666666666,0.2856802704890709,0.5943882999999914,1.0831449999968754,0.0018,0.8312393612709735,0.9930279848939673,0.9049594069890576,0.9921640299505552,39928,72,2082,10255,12000,200091.0,139682112.0,510874.88173400005,1500,25231.0,16313785.0,67135.185409,True,False,0.751902236569057,4337,0.9955,4000,0.753,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9275332650972364,0.5,8,recalibrated,0.24664732813835144,42000,12000,0.2857142857142857,0.9998333333333334,0.00016666666666666666,0.2856802704890709,0.5943882999999914,1.0831449999968754,0.01,0.8372375780173462,0.9627178674620188,0.8956039191884158,0.9921640299505552,39600,400,2008,10329,12000,200091.0,139682112.0,510874.88173400005,1500,25231.0,16313785.0,67135.185409,True,False,0.7675812773806779,4337,0.9965,4000,0.7535,4000,,1.0,cicids,,,
junk,xgboost,2,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9314227226202662,0.5,9,fixed,0.32942160964012146,43500,13500,0.3103448275862069,0.9995555555555555,0.00044444444444444447,0.3102496896123603,0.5993479999997362,1.0514985999980127,0.001475,0.8220799221852962,0.9942162533084992,0.8999911260981454,0.9925757994244955,39941,59,2195,10142,13500,222472.0,155812041.0,573917.143806,1500,22381.0,16129929.0,63042.262072,True,False,0.7302282683882868,4337,0.996,4000,0.74775,4000,,1.0,cicids,,,
