scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9394063459570112,0.5,0,fixed,0.5018159747123718,30000,0,0.0,,,0.0,0.0,0.7390427999998792,0.00455,0.79679014347086,0.9818218138234119,0.8796814175130878,0.9846855809759261,39818,182,2507,9830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7855660594881254,4337,0.99525,4000,0.6105,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9394063459570112,0.5,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,0.7390427999998792,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9373592630501535,0.5,1,fixed,0.5018159747123718,31500,1500,0.047619047619047616,0.4165572655477534,0.0,0.0204029141705825,0.0001401999979862012,0.8338189999994938,0.0119,0.8401556294074735,0.9560926113827137,0.8943826041936318,0.9857511611412824,39524,476,1972,10365,1500,24914.0,18660022.0,64808.273349,1500,24914.0,18660022.0,64808.273349,True,False,0.7851049112289601,4337,0.9955,4000,0.7445,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9373592630501535,0.5,1,recalibrated,0.7370563745498657,31500,1500,0.047619047619047616,0.4165572655477534,0.0,0.0204029141705825,0.0001401999979862012,0.8338189999994938,0.01,0.8248358596093054,0.962178517397882,0.8882293894295815,0.9857511611412824,39600,400,2161,10176,1500,24914.0,18660022.0,64808.273349,1500,24914.0,18660022.0,64808.273349,True,False,0.7459073091999078,4337,0.99325,4000,0.742,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9349027635619243,0.5,2,fixed,0.5018159747123718,33000,3000,0.09090909090909091,0.4174228391939176,0.0,0.040069683801585716,0.00014709999959450215,0.8046312000005855,0.00825,0.8345626975763962,0.968944099378882,0.8967469407307408,0.9843990222501419,39670,330,2041,10296,3000,47341.0,34174451.0,131266.432091,1500,22427.0,15514429.0,66458.158742,True,False,0.7715010375835831,4337,0.99475,4000,0.74275,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9349027635619243,0.5,2,recalibrated,0.48903539776802063,33000,3000,0.09090909090909091,0.4174228391939176,0.0,0.040069683801585716,0.00014709999959450215,0.8046312000005855,0.009325,0.8346437545594553,0.9650421743205249,0.8951188768635632,0.9843990222501419,39627,373,2040,10297,3000,47341.0,34174451.0,131266.432091,1500,22427.0,15514429.0,66458.158742,True,False,0.7715010375835831,4337,0.995,4000,0.74275,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9277379733879222,0.5,3,fixed,0.5018159747123718,34500,4500,0.13043478260869565,0.41462537781173664,0.0,0.058552221149392986,0.00015919999714242294,0.817779299999529,0.004025,0.8355353813731053,0.9846212627758143,0.9039726387792686,0.9851937383480587,39839,161,2029,10308,4500,72276.0,47414416.0,197403.762949,1500,24935.0,13239965.0,66137.330858,True,False,0.7761125201752364,4337,0.99375,4000,0.74175,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9277379733879222,0.5,3,recalibrated,0.25262969732284546,34500,4500,0.13043478260869565,0.41462537781173664,0.0,0.058552221149392986,0.00015919999714242294,0.817779299999529,0.0099,0.8472075869336143,0.963495575221239,0.9016174250593055,0.9851937383480587,39604,396,1885,10452,4500,72276.0,47414416.0,197403.762949,1500,24935.0,13239965.0,66137.330858,True,False,0.8056260087618169,4337,0.9955,4000,0.744,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9334698055271239,0.5,4,fixed,0.5018159747123718,36000,6000,0.16666666666666666,0.41049802818318526,0.0,0.07587065479830296,0.0002765000026556663,0.8413093999988632,0.0019,0.8348058685255735,0.9926746987951808,0.9069214512152166,0.9853541673421415,39924,76,2038,10299,6000,99724.0,64020591.0,259221.7316,1500,27448.0,16606175.0,61817.968651,True,False,0.7705787410652525,4337,0.9955,4000,0.74375,4000,,1.0,cicids,8.0,2.0,all
junk,xgboost,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9334698055271239,0.5,4,recalibrated,0.34596648812294006,36000,6000,0.16666666666666666,0.41049802818318526,0.0,0.07587065479830296,0.0002765000026556663,0.8413093999988632,0.006775,0.8414525411364189,0.9745587683064213,0.9031275827569707,0.9853541673421415,39729,271,1956,10381,6000,99724.0,64020591.0,259221.7316,1500,27448.0,16606175.0,61817.968651,True,False,0.787871800783952,4337,0.99575,4000,0.74525,4000,,1.0,cicids,8.0,2.0,all
