scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.05,0,fixed,0.47,30000,0,0.0,,,0.0,0.0,1.570972299999994,0.0015,0.78341574126611,0.9938303341902314,0.8761671652615355,0.9640888019777903,39940,60,2672,9665,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7936361540235186,4337,0.99425,4000,0.5615,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.05,0,recalibrated,0.2163729603729604,30000,0,0.0,,,0.0,0.0,1.570972299999994,0.0097,0.8587176785280052,0.9646694591149153,0.9086152922509542,0.9640888019777903,39612,388,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8349089232188148,4337,0.99625,4000,0.747,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9402251791197543,0.05,1,fixed,0.47,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.3199998395284638e-05,1.3301460999991832,0.009925,0.8438031936451326,0.9632645507541409,0.8995852056688559,0.97226418699846,39603,397,1927,10410,79,1003.0,898801.0,6618.829314,79,1003.0,898801.0,6618.829314,True,False,0.800092229651833,4337,0.99425,4000,0.74075,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9402251791197543,0.05,1,recalibrated,0.4683333333333334,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.3199998395284638e-05,1.3301460999991832,0.01,0.8438842506281916,0.963000647488669,0.8995161569034043,0.97226418699846,39600,400,1926,10411,79,1003.0,898801.0,6618.829314,79,1003.0,898801.0,6618.829314,True,False,0.8003228037814157,4337,0.99425,4000,0.74075,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9367451381780962,0.05,2,fixed,0.47,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,1.6599999071331695e-05,1.6060266000004049,0.00855,0.8430736807976007,0.9681653169505725,0.9012998266897746,0.9851120075788279,39658,342,1936,10401,158,2001.0,1804461.0,13018.941986999998,79,998.0,905660.0,6400.112673,True,False,0.792713857505188,4337,0.994,4000,0.74675,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9367451381780962,0.05,2,recalibrated,0.456,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,1.6599999071331695e-05,1.6060266000004049,0.00985,0.8447758774418416,0.9635724852071006,0.900272102967218,0.9851120075788279,39606,394,1915,10422,158,2001.0,1804461.0,13018.941986999998,79,998.0,905660.0,6400.112673,True,False,0.7973253400968411,4337,0.99425,4000,0.74675,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9318321392016377,0.05,3,fixed,0.47,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,2.8099997507524677e-05,1.6924388999996154,0.00395,0.8448569344249007,0.9850675739533126,0.9095907147220526,0.9831615121180189,39842,158,1914,10423,237,2985.0,2666570.0,18939.340559999997,79,984.0,862109.0,5920.398573,True,False,0.7827991699331335,4337,0.995,4000,0.762,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9318321392016377,0.05,3,recalibrated,0.2833333333333333,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,2.8099997507524677e-05,1.6924388999996154,0.01,0.8664180919186187,0.9639282171521327,0.9125757705113976,0.9831615121180189,39600,400,1648,10689,237,2985.0,2666570.0,18939.340559999997,79,984.0,862109.0,5920.398573,True,False,0.8291445699792483,4337,0.9955,4000,0.77775,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9392016376663255,0.05,4,fixed,0.47,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,2.1400001060101204e-05,1.7195465000004333,0.01195,0.8494771824592688,0.9563789012593539,0.8997638978321529,0.9810502026424577,39522,478,1857,10480,316,4115.0,3544256.0,24983.332540999996,79,1130.0,877686.0,6043.991981,True,False,0.7917915609868573,4337,0.99475,4000,0.76675,4000,,1.0,cicids,,,
s0,rf,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9392016376663255,0.05,4,recalibrated,0.49733333333333335,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,2.1400001060101204e-05,1.7195465000004333,0.0099,0.8481802707303234,0.96353591160221,0.9021856274518256,0.9810502026424577,39604,396,1873,10464,316,4115.0,3544256.0,24983.332540999996,79,1130.0,877686.0,6043.991981,True,False,0.7881023749135347,4337,0.99475,4000,0.76675,4000,,1.0,cicids,,,
