scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9394063459570112,0.05,0,fixed,0.47,30000,0,0.0,,,0.0,0.0,1.2323761000006925,0.0015,0.78341574126611,0.9938303341902314,0.8761671652615355,0.9640888019777903,39940,60,2672,9665,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7936361540235186,4337,0.99425,4000,0.5615,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9394063459570112,0.05,0,recalibrated,0.2163729603729604,30000,0,0.0,,,0.0,0.0,1.2323761000006925,0.0097,0.8587176785280052,0.9646694591149153,0.9086152922509542,0.9640888019777903,39612,388,1743,10594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8349089232188148,4337,0.99625,4000,0.747,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9402251791197543,0.05,1,fixed,0.47,30079,79,0.002626417101632368,0.8835762774521982,0.0,0.002321349661626718,5.5300000894931145e-05,1.257493400000385,0.00655,0.8465591310691416,0.9755277414533906,0.9064791910775507,0.9729528491529545,39738,262,1893,10444,79,1003.0,898801.0,6618.829314,79,1003.0,898801.0,6618.829314,True,False,0.8072400276688956,4337,0.9945,4000,0.74125,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9402251791197543,0.05,1,recalibrated,0.39666666666666667,30079,79,0.002626417101632368,0.8835762774521982,0.0,0.002321349661626718,5.5300000894931145e-05,1.257493400000385,0.009225,0.8492340115100916,0.9659782408261111,0.9038519604882889,0.9729528491529545,39631,369,1860,10477,79,1003.0,898801.0,6618.829314,79,1003.0,898801.0,6618.829314,True,False,0.8127738067788794,4337,0.99525,4000,0.74275,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9367451381780962,0.05,2,fixed,0.47,30158,158,0.005239074209165064,0.8846687423334901,0.0,0.004637647392741746,6.709999979648273e-05,1.3346706000011181,0.0042,0.8410472562211234,0.9840667678300455,0.9069533674227525,0.9650384058117857,39832,168,1961,10376,158,2001.0,1804461.0,13018.941986999998,79,998.0,905660.0,6400.112673,True,False,0.7920221351164399,4337,0.99425,4000,0.741,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9367451381780962,0.05,2,recalibrated,0.38895238095238094,30158,158,0.005239074209165064,0.8846687423334901,0.0,0.004637647392741746,6.709999979648273e-05,1.3346706000011181,0.009925,0.8460727891707871,0.9633594831564375,0.9009148972898327,0.9650384058117857,39603,397,1899,10438,158,2001.0,1804461.0,13018.941986999998,79,998.0,905660.0,6400.112673,True,False,0.8040119898547383,4337,0.995,4000,0.74275,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9318321392016377,0.05,3,fixed,0.47,30237,237,0.007838079174521282,0.8681405707543409,0.0,0.006811594478961462,7.089999780873768e-05,1.2237573000002158,0.003075,0.8420199400178325,0.9882979735515175,0.9093137254901962,0.9674969330064035,39877,123,1949,10388,237,2985.0,2666570.0,18939.340559999997,79,984.0,862109.0,5920.398573,True,False,0.7936361540235186,4337,0.995,4000,0.7415,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9318321392016377,0.05,3,recalibrated,0.18843589743589745,30237,237,0.007838079174521282,0.8681405707543409,0.0,0.006811594478961462,7.089999780873768e-05,1.2237573000002158,0.008825,0.8644727243252006,0.9679615175167907,0.9132947976878611,0.9674969330064035,39647,353,1672,10665,237,2985.0,2666570.0,18939.340559999997,79,984.0,862109.0,5920.398573,True,False,0.8441318884021213,4337,0.996,4000,0.755,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9392016376663255,0.05,4,fixed,0.47,30316,316,0.010423538725425518,0.8640764714425323,0.0,0.00901951344601437,0.00013220000073488336,1.3798671000004106,0.009875,0.8420199400178325,0.9633682648613558,0.8986159169550173,0.967528705317338,39605,395,1949,10388,316,4115.0,3544256.0,24983.332540999996,79,1130.0,877686.0,6043.991981,True,False,0.7922527092460226,4337,0.99475,4000,0.74325,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9392016376663255,0.05,4,recalibrated,0.47390476190476194,30316,316,0.010423538725425518,0.8640764714425323,0.0,0.00901951344601437,0.00013220000073488336,1.3798671000004106,0.009875,0.8420199400178325,0.9633682648613558,0.8986159169550173,0.967528705317338,39605,395,1949,10388,316,4115.0,3544256.0,24983.332540999996,79,1130.0,877686.0,6043.991981,True,False,0.7922527092460226,4337,0.99475,4000,0.74325,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9432958034800409,0.05,5,fixed,0.47,30395,395,0.01299555848001316,0.844606132845207,0.0,0.010998338768194662,7.509999886678997e-05,1.34254940000028,0.0081,0.8351300964578099,0.9695116213418651,0.8973175404981711,0.9721591209370187,39676,324,2034,10303,395,5079.0,4395261.0,30599.144330999996,79,964.0,851005.0,5615.81179,True,False,0.7744985012681577,4337,0.99475,4000,0.74125,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9432958034800409,0.05,5,recalibrated,0.45923809523809517,30395,395,0.01299555848001316,0.844606132845207,0.0,0.010998338768194662,7.509999886678997e-05,1.34254940000028,0.0099,0.8363459512036961,0.9630390143737166,0.895232310962648,0.9721591209370187,39604,396,2019,10318,395,5079.0,4395261.0,30599.144330999996,79,964.0,851005.0,5615.81179,True,False,0.7774959649527323,4337,0.995,4000,0.7415,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.936949846468782,0.05,6,fixed,0.47,30474,474,0.015554242961212838,0.8427159585446689,0.0,0.013139954801237938,7.199999890872277e-05,1.2886044000006223,0.007375,0.8380481478479371,0.972258792552191,0.9001784859170259,0.9680729340601443,39705,295,1998,10339,474,6051.0,5245273.0,36691.46462099999,79,972.0,850012.0,6092.32029,True,False,0.7825685958035509,4337,0.99525,4000,0.741,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.936949846468782,0.05,6,recalibrated,0.4393333333333333,30474,474,0.015554242961212838,0.8427159585446689,0.0,0.013139954801237938,7.199999890872277e-05,1.2886044000006223,0.008475,0.8421009970008916,0.968400447427293,0.9008454368090179,0.9680729340601443,39661,339,1948,10389,474,6051.0,5245273.0,36691.46462099999,79,972.0,850012.0,6092.32029,True,False,0.7934055798939359,4337,0.9955,4000,0.7415,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.939611054247697,0.05,7,fixed,0.47,30553,553,0.01809969561090564,0.8431976170620734,0.0,0.015305057114791892,5.8400000852998346e-05,1.2432944000011048,0.0086,0.8405609143227689,0.9678924771327235,0.8997440458114615,0.9771081725703169,39656,344,1967,10370,553,7094.0,6117290.0,42708.46634299999,79,1043.0,872017.0,6017.001722,True,False,0.7894858196910307,4337,0.995,4000,0.7415,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.939611054247697,0.05,7,recalibrated,0.4535555555555555,30553,553,0.01809969561090564,0.8431976170620734,0.0,0.015305057114791892,5.8400000852998346e-05,1.2432944000011048,0.009225,0.8416146551025371,0.9656808035714286,0.8993893195894148,0.9771081725703169,39631,369,1954,10383,553,7094.0,6117290.0,42708.46634299999,79,1043.0,872017.0,6017.001722,True,False,0.7922527092460226,4337,0.99525,4000,0.7415,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.93510747185261,0.05,8,fixed,0.47,30632,632,0.02063201880386524,0.8444062342742548,0.0,0.017477913136353416,5.669999882229604e-05,1.329895699998815,0.004175,0.8407230282888871,0.9841540943163488,0.9068018884420352,0.970385545513496,39833,167,1965,10372,632,8101.0,6990807.0,49078.93147599999,79,1007.0,873517.0,6370.465133,True,False,0.7904081162093614,4337,0.99475,4000,0.74125,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.93510747185261,0.05,8,recalibrated,0.2786666666666667,30632,632,0.02063201880386524,0.8444062342742548,0.0,0.017477913136353416,5.669999882229604e-05,1.329895699998815,0.009975,0.8528005187646915,0.9634615384615385,0.9047598572472804,0.970385545513496,39601,399,1816,10521,632,8101.0,6990807.0,49078.93147599999,79,1007.0,873517.0,6370.465133,True,False,0.8160018445930367,4337,0.9955,4000,0.75,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9449334698055272,0.05,9,fixed,0.47,30711,711,0.023151313861482857,0.8481132784240444,0.0,0.01970422418280936,5.390000114857685e-05,1.2768556999999419,0.001775,0.8428305098484234,0.9932180724042411,0.91186529860563,0.9470756362973171,39929,71,1939,10398,711,9127.0,7924338.0,55319.63352499999,79,1026.0,933531.0,6240.702049,True,False,0.7952501729305972,4337,0.99425,4000,0.743,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9449334698055272,0.05,9,recalibrated,0.324,30711,711,0.023151313861482857,0.8481132784240444,0.0,0.01970422418280936,5.390000114857685e-05,1.2768556999999419,0.009475,0.850530923239037,0.9651398086828551,0.9042181912189237,0.9470756362973171,39621,379,1844,10493,711,9127.0,7924338.0,55319.63352499999,79,1026.0,933531.0,6240.702049,True,False,0.8127738067788794,4337,0.99525,4000,0.74675,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9381780962128966,0.05,10,fixed,0.47,30789,789,0.025626035272337522,0.8512333912478506,0.0,0.02189721562840835,5.720000081055332e-05,1.2826444000002084,0.0042,0.8447758774418416,0.9841359773371104,0.9091464212500545,0.9665472967496149,39832,168,1915,10422,789,10129.0,8837541.0,61525.74167499999,78,1002.0,913203.0,6206.10815,True,False,0.8010145261701637,4337,0.99475,4000,0.74225,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9381780962128966,0.05,10,recalibrated,0.24100000000000002,30789,789,0.025626035272337522,0.8512333912478506,0.0,0.02189721562840835,5.720000081055332e-05,1.2826444000002084,0.009875,0.8634189835454325,0.9642436860686159,0.9110502907971263,0.9665472967496149,39605,395,1685,10652,789,10129.0,8837541.0,61525.74167499999,78,1002.0,913203.0,6206.10815,True,False,0.8455153331796172,4337,0.996,4000,0.75025,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9389969293756397,0.05,11,fixed,0.47,30868,868,0.028119735648568095,0.8466234617723074,0.0,0.023909949343775116,5.9100000726175494e-05,1.3641984000005323,0.000375,0.8422631109670098,0.9985585239285028,0.9137756672382711,0.965108155345708,39985,15,1946,10391,868,11135.0,9724569.0,67185.243922,79,1006.0,887028.0,5659.502247,True,False,0.7943278764122665,4337,0.99475,4000,0.74175,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9389969293756397,0.05,11,recalibrated,0.26999999999999996,30868,868,0.028119735648568095,0.8466234617723074,0.0,0.023909949343775116,5.9100000726175494e-05,1.3641984000005323,0.009675,0.8559617411039961,0.9646478487256782,0.9070606425012885,0.965108155345708,39613,387,1777,10560,868,11135.0,9724569.0,67185.243922,79,1006.0,887028.0,5659.502247,True,False,0.8282222734609177,4337,0.9955,4000,0.7465,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9437052200614124,0.05,12,fixed,0.47,30947,947,0.03060070443015478,0.8399812899899771,0.0,0.025830503024962214,5.5900000006658956e-05,1.4194977000006475,0.004725,0.8404798573397099,0.9820988823640842,0.9057872898012667,0.962940719988652,39811,189,1968,10369,947,12107.0,10597625.0,72554.51754399999,79,972.0,873056.0,5369.273622,True,False,0.789946967950196,4337,0.99425,4000,0.7415,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9437052200614124,0.05,12,recalibrated,0.4168571428571429,30947,947,0.03060070443015478,0.8399812899899771,0.0,0.025830503024962214,5.5900000006658956e-05,1.4194977000006475,0.009825,0.8445327064926643,0.9636514983351832,0.9001684738001642,0.962940719988652,39607,393,1918,10419,947,12107.0,10597625.0,72554.51754399999,79,972.0,873056.0,5369.273622,True,False,0.8003228037814157,4337,0.9945,4000,0.7425,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9318321392016377,0.05,13,fixed,0.47,31026,1026,0.03306903887062464,0.8373534210955718,0.0,0.027840213256225294,6.629999916185625e-05,1.3682275999999547,0.00325,0.8404798573397099,0.987617868368416,0.9081275179541076,0.9637200008105699,39870,130,1968,10369,1026,13098.0,11515050.0,78212.60480499998,79,991.0,917425.0,5658.087261,True,False,0.789255245561448,4337,0.99475,4000,0.74175,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9318321392016377,0.05,13,recalibrated,0.3161904761904762,31026,1026,0.03306903887062464,0.8373534210955718,0.0,0.027840213256225294,6.629999916185625e-05,1.3682275999999547,0.009875,0.850530923239037,0.9637215282880235,0.903595263724435,0.9637200008105699,39605,395,1844,10493,1026,13098.0,11515050.0,78212.60480499998,79,991.0,917425.0,5658.087261,True,False,0.8136961032972101,4337,0.99575,4000,0.74525,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9365404298874105,0.05,14,fixed,0.47,31105,1105,0.035524835235492686,0.8461991756024313,0.0,0.03022623484847517,5.760000021837186e-05,1.3013716000004933,0.010475,0.8412904271703007,0.9611965178736803,0.8972552409768748,0.9679900492421172,39581,419,1958,10379,1105,14159.0,12466312.0,85128.58034999997,79,1061.0,951262.0,6915.975545,True,False,0.791330412727692,4337,0.99475,4000,0.742,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9365404298874105,0.05,14,recalibrated,0.48133333333333334,31105,1105,0.035524835235492686,0.8461991756024313,0.0,0.03022623484847517,5.760000021837186e-05,1.3013716000004933,0.01,0.8407230282888871,0.9628666914222057,0.8976589207668008,0.9679900492421172,39600,400,1965,10372,1105,14159.0,12466312.0,85128.58034999997,79,1061.0,951262.0,6915.975545,True,False,0.789946967950196,4337,0.99475,4000,0.74175,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9338792221084954,0.05,15,fixed,0.47,31184,1184,0.03796818881477681,0.8453972502950792,0.0,0.032287730964087026,5.559999954130035e-05,1.27670500000022,0.00405,0.8416957120855961,0.9846387255831595,0.9075733076956692,0.9784186370268299,39838,162,1953,10384,1184,15144.0,13342560.0,91233.49234099998,79,985.0,876248.0,6104.911991,True,False,0.7931750057643533,4337,0.99375,4000,0.74225,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9338792221084954,0.05,15,recalibrated,0.15,31184,1184,0.03796818881477681,0.8453972502950792,0.0,0.032287730964087026,5.559999954130035e-05,1.27670500000022,0.01,0.8729837075464051,0.964189794091316,0.916322797464585,0.9784186370268299,39600,400,1567,10770,1184,15144.0,13342560.0,91233.49234099998,79,985.0,876248.0,6104.911991,True,False,0.8644224118053955,4337,0.99675,4000,0.7585,4000,,1.0,cicids,8.0,2.0,all
s0,rf,3,accumulate,fixed_ratio,auto_malicious,d1_E8_g2,0.1,0.9363357215967246,0.05,16,fixed,0.47,31263,1263,0.0403991939353229,0.8464309464070576,0.0,0.034408601188762857,6.310000208031852e-05,1.241331100000025,0.004475,0.8418578260517143,0.9830572645527685,0.9069950222687975,0.9785658314420037,39821,179,1951,10386,1263,16101.0,14219401.0,97503.16143699997,79,957.0,876841.0,6269.669096,True,False,0.792713857505188,4337,0.99475,4000,0.74225,4000,,1.0,cicids,8.0,2.0,all
