scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9379733879222109,0.2,0,fixed,0.46266666666666656,30000,0,0.0,,,0.0,0.0,1.6376436000009562,0.00395,0.8123530842182054,0.9844793713163065,0.8901718701425589,0.9744534641728135,39842,158,2315,10022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7994005072630851,4337,0.99425,4000,0.6445,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9379733879222109,0.2,0,recalibrated,0.2346666666666667,30000,0,0.0,,,0.0,0.0,1.6376436000009562,0.00985,0.8592040204263597,0.9641622703292705,0.9086622948009085,0.9744534641728135,39606,394,1737,10600,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8360617938667282,4337,0.996,4000,0.7475,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9346980552712385,0.2,1,fixed,0.46266666666666656,30375,375,0.012345679012345678,0.5386666666666666,0.4613333333333333,0.006688298788159725,0.051369400000112364,1.5088900000009744,0.01045,0.8405609143227689,0.9612532443455691,0.8968648648648648,0.9779712926562374,39582,418,1967,10370,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.7910998385981093,4337,0.99425,4000,0.7405,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9346980552712385,0.2,1,recalibrated,0.4873333333333333,30375,375,0.012345679012345678,0.5386666666666666,0.4613333333333333,0.006688298788159725,0.051369400000112364,1.5088900000009744,0.00985,0.837967090864878,0.9632873648900484,0.8962677185833802,0.9779712926562374,39606,394,1999,10338,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.7844131888402122,4337,0.994,4000,0.74,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.934288638689867,0.2,2,fixed,0.46266666666666656,30750,750,0.024390243902439025,0.5266666666666666,0.47333333333333333,0.01299555848001316,0.04791280000063125,1.4544561000002432,0.007625,0.8412093701872416,0.9714499672376673,0.901650738488271,0.9663562930615223,39695,305,1959,10378,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.7915609868572746,4337,0.99475,4000,0.7415,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.934288638689867,0.2,2,recalibrated,0.44,30750,750,0.024390243902439025,0.5266666666666666,0.47333333333333333,0.01299555848001316,0.04791280000063125,1.4544561000002432,0.009775,0.8426683958823052,0.9637526652452025,0.899152395779277,0.9663562930615223,39609,391,1941,10396,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.7957113211897625,4337,0.99475,4000,0.7415,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9359263050153531,0.2,3,fixed,0.46266666666666656,31125,1125,0.03614457831325301,0.5164444444444445,0.48355555555555557,0.018998724698342108,0.044241399999009445,1.6182647999994515,0.00435,0.8431547377806599,0.9835476550680786,0.9079561820800419,0.9677452723514631,39826,174,1935,10402,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.7970947659672585,4337,0.9945,4000,0.74175,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9359263050153531,0.2,3,recalibrated,0.2273333333333333,31125,1125,0.03614457831325301,0.5164444444444445,0.48355555555555557,0.018998724698342108,0.044241399999009445,1.6182647999994515,0.01,0.8596903623247143,0.9636561875340723,0.9087092490254037,0.9677452723514631,39600,400,1731,10606,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.8335254784413189,4337,0.996,4000,0.75175,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9349027635619243,0.2,4,fixed,0.46266666666666656,31500,1500,0.047619047619047616,0.5193333333333333,0.4806666666666667,0.02530946424510218,0.0646137000003364,1.797469999999521,0.00975,0.842425224933128,0.9638319577112121,0.8990484429065745,0.9587004599983788,39610,390,1944,10393,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.7940973022826839,4337,0.99475,4000,0.7425,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9349027635619243,0.2,4,recalibrated,0.45333333333333337,31500,1500,0.047619047619047616,0.5193333333333333,0.4806666666666667,0.02530946424510218,0.0646137000003364,1.797469999999521,0.00995,0.8438842506281916,0.9631788324544361,0.8995938823122785,0.9587004599983788,39602,398,1926,10411,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.7977864883560064,4337,0.995,4000,0.74275,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9357215967246674,0.2,5,fixed,0.46266666666666656,31875,1875,0.058823529411764705,0.5178666666666667,0.48213333333333336,0.03135190985115108,0.0634912000004988,1.6435239999991609,0.01005,0.8411283132041826,0.9627052602282216,0.8978196919882332,0.9642742188133258,39598,402,1960,10377,1875,23959.0,20986207.0,144941.32552399999,375,4871.0,4141356.0,29127.719449,True,False,0.7922527092460226,4337,0.994,4000,0.74125,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9357215967246674,0.2,5,recalibrated,0.4680952380952382,31875,1875,0.058823529411764705,0.5178666666666667,0.48213333333333336,0.03135190985115108,0.0634912000004988,1.6435239999991609,0.01,0.8409661992380644,0.962877030162413,0.8978020076150918,0.9642742188133258,39600,400,1962,10375,1875,23959.0,20986207.0,144941.32552399999,375,4871.0,4141356.0,29127.719449,True,False,0.7917915609868573,4337,0.994,4000,0.74125,4000,,1.0,cicids,,,
s0,rf,4,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9420675537359263,0.2,6,fixed,0.46266666666666656,32250,2250,0.06976744186046512,0.5177777777777778,0.4822222222222222,0.03738167816460773,0.0475192000012612,1.686956800000189,0.010025,0.8413714841533598,0.9628049346071793,0.898001557228134,0.9660118495177109,39599,401,1957,10380,2250,28794.0,25182479.0,171891.88731999998,375,4835.0,4196272.0,26950.561796,True,False,0.791330412727692,4337,0.99525,4000,0.74175,4000,,1.0,cicids,,,
