scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.05,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,1.0197259999986272,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.05,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,1.0197259999986272,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9389969293756397,0.05,1,fixed,0.7930201292037964,30079,79,0.002626417101632368,0.5949367088607594,0.4050632911392405,0.0015642160615036442,0.01652970000031928,1.0296605999992607,0.000525,0.8171354462186917,0.9979212037220352,0.898524889700967,0.9839046303801573,39979,21,2256,10081,79,980.0,893717.0,6301.715626,79,980.0,893717.0,6301.715626,True,False,0.7313811390362002,4337,0.9935,4000,0.73375,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9389969293756397,0.05,1,recalibrated,0.2834678888320923,30079,79,0.002626417101632368,0.5949367088607594,0.4050632911392405,0.0015642160615036442,0.01652970000031928,1.0296605999992607,0.0094,0.8460727891707871,0.9652302570741631,0.9017321066044663,0.9839046303801573,39624,376,1899,10438,79,980.0,893717.0,6301.715626,79,980.0,893717.0,6301.715626,True,False,0.8051648605026516,4337,0.9955,4000,0.741,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.05,2,fixed,0.7930201292037964,30158,158,0.005239074209165064,0.5063291139240507,0.4936708860759494,0.0026595744680851063,0.01628800000071351,1.2120966000002227,0.000425,0.8125962551673827,0.9983071101374228,0.8959292193574333,0.9829177666774742,39983,17,2312,10025,158,2226.0,1997995.0,12032.692616,79,1246.0,1104278.0,5730.97699,True,False,0.7244639151487203,4337,0.994,4000,0.72675,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9408393039918117,0.05,2,recalibrated,0.31861042976379395,30158,158,0.005239074209165064,0.5063291139240507,0.4936708860759494,0.0026595744680851063,0.01628800000071351,1.2120966000002227,0.0079,0.8490718975439734,0.9707163376888147,0.9058284330681425,0.9829177666774742,39684,316,1862,10475,158,2226.0,1997995.0,12032.692616,79,1246.0,1104278.0,5730.97699,True,False,0.8120820843901314,4337,0.996,4000,0.74225,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9359263050153531,0.05,3,fixed,0.7930201292037964,30237,237,0.007838079174521282,0.510548523206751,0.48945147679324896,0.004017130905348428,0.012351900000794558,0.9801686000009795,0.00055,0.8207019534732918,0.9978318714891101,0.9006404554349761,0.9843645406095485,39978,22,2212,10125,237,3191.0,2899473.0,18468.413363,79,965.0,901478.0,6435.720747,True,False,0.7385289370532626,4337,0.99375,4000,0.73675,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.9359263050153531,0.05,3,recalibrated,0.4042639434337616,30237,237,0.007838079174521282,0.510548523206751,0.48945147679324896,0.004017130905348428,0.012351900000794558,0.9801686000009795,0.003675,0.8458296182216098,0.9861084861084861,0.910598193638466,0.9843645406095485,39853,147,1902,10435,237,3191.0,2899473.0,18468.413363,79,965.0,901478.0,6435.720747,True,False,0.800092229651833,4337,0.99575,4000,0.7455,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.940634595701126,0.05,4,fixed,0.7930201292037964,30316,316,0.010423538725425518,0.5126582278481012,0.4873417721518987,0.0053709966182613885,0.01140049999958137,1.081609999999273,0.00045,0.8168922752695145,0.998217115689382,0.8984977488521375,0.9852249169165924,39982,18,2259,10078,316,4169.0,3782969.0,24778.200361,79,978.0,883496.0,6309.786998,True,False,0.7403735300899239,4337,0.99325,4000,0.7235,4000,,1.0,cicids,,,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,knn,0.1,0.940634595701126,0.05,4,recalibrated,0.196452334523201,30316,316,0.010423538725425518,0.5126582278481012,0.4873417721518987,0.0053709966182613885,0.01140049999958137,1.081609999999273,0.0087,0.8564480830023506,0.9681143485431556,0.9088641348759193,0.9852249169165924,39652,348,1771,10566,316,4169.0,3782969.0,24778.200361,79,978.0,883496.0,6309.786998,True,False,0.8229190684805164,4337,0.9965,4000,0.75275,4000,,1.0,cicids,,,
