scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9408393039918117,0.2,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,3.109183500011568,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9408393039918117,0.2,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,3.109183500011568,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9365404298874105,0.2,1,fixed,0.7930201292037964,30375,375,0.012345679012345678,0.9668809960321817,0.0,0.011941685095657373,9.960000170394778e-05,0.7837316999939503,0.0003,0.8195671557104645,0.9988145806579077,0.9003561887800534,0.9840405750992948,39988,12,2226,10111,375,4898.0,4455065.0,28934.365245,375,4898.0,4455065.0,28934.365245,True,False,0.7336868803320268,4337,0.993,4000,0.73925,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9365404298874105,0.2,1,recalibrated,0.2975112199783325,30375,375,0.012345679012345678,0.9668809960321817,0.0,0.011941685095657373,9.960000170394778e-05,0.7837316999939503,0.007325,0.8506930372051552,0.9728401928068224,0.9076756756756756,0.9840405750992948,39707,293,1842,10495,375,4898.0,4455065.0,28934.365245,375,4898.0,4455065.0,28934.365245,True,False,0.814387825685958,4337,0.99575,4000,0.745,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9420675537359263,0.2,2,fixed,0.7930201292037964,30750,750,0.024390243902439025,0.9593873141627187,0.0,0.023422892212818496,0.00016939999477472156,0.922477500003879,0.00035,0.821917808219178,0.9986212330116211,0.9016940109377084,0.985983126975764,39986,14,2197,10140,750,9564.0,8554417.0,56848.553982,375,4666.0,4099352.0,27914.188737,True,False,0.7408346783490892,4337,0.99125,4000,0.7405,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9420675537359263,0.2,2,recalibrated,0.21429187059402466,30750,750,0.024390243902439025,0.9593873141627187,0.0,0.023422892212818496,0.00016939999477472156,0.922477500003879,0.00875,0.8548269433411688,0.9678781204111601,0.9078465975121595,0.985983126975764,39650,350,1791,10546,750,9564.0,8554417.0,56848.553982,375,4666.0,4099352.0,27914.188737,True,False,0.8203827530551072,4337,0.996,4000,0.751,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9363357215967246,0.2,3,fixed,0.7930201292037964,31125,1125,0.03614457831325301,0.9638148642574638,0.0,0.034882304283360345,9.99999901978299e-05,0.819231999994372,0.0002,0.8175407311339872,0.9992074499702793,0.8992911595559716,0.9867117654210911,39992,8,2251,10086,1125,14539.0,12727554.0,85630.11531699999,375,4975.0,4173137.0,28781.561335,True,False,0.7265390823149642,4337,0.994,4000,0.73975,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9363357215967246,0.2,3,recalibrated,0.293693482875824,31125,1125,0.03614457831325301,0.9638148642574638,0.0,0.034882304283360345,9.99999901978299e-05,0.819231999994372,0.009975,0.8509362081543325,0.9633844177296503,0.9036756477575966,0.9867117654210911,39601,399,1839,10498,1125,14539.0,12727554.0,85630.11531699999,375,4975.0,4173137.0,28781.561335,True,False,0.8127738067788794,4337,0.996,4000,0.74725,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9392016376663255,0.2,4,fixed,0.7930201292037964,31500,1500,0.047619047619047616,0.9641732703226733,0.0,0.04599147592848688,0.00016289998893626034,0.8768427000031807,0.000325,0.8196482126935235,0.9987160493827161,0.9003650609918974,0.9860760355029585,39987,13,2225,10112,1500,19368.0,16931000.0,114606.29032499998,375,4829.0,4203446.0,28976.175008,True,False,0.7311505649066175,4337,0.99275,4000,0.7425,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,d1_E2_g1,0.1,0.9392016376663255,0.2,4,recalibrated,0.22023864090442657,31500,1500,0.047619047619047616,0.9641732703226733,0.0,0.04599147592848688,0.00016289998893626034,0.8768427000031807,0.01,0.8529626327308097,0.9633800238029845,0.9048151332760104,0.9860760355029585,39600,400,1814,10523,1500,19368.0,16931000.0,114606.29032499998,375,4829.0,4203446.0,28976.175008,True,False,0.8118515102605488,4337,0.99575,4000,0.75475,4000,,1.0,cicids,2.0,1.0,all,0.0,median,2.0,
