scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9408393039918117,0.2,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,3.4409309000038775,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9408393039918117,0.2,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,3.4409309000038775,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9365404298874105,0.2,1,fixed,0.7930201292037964,30375,375,0.012345679012345678,0.25,0.0,0.003115264797507788,5.2100003813393414e-05,0.905203000002075,0.00045,0.820945124422469,0.9982259018332348,0.9009473824667527,0.9853397594634028,39982,18,2209,10128,375,4898.0,4455065.0,28934.365245,375,4898.0,4455065.0,28934.365245,True,False,0.7403735300899239,4337,0.99375,4000,0.7355,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9365404298874105,0.2,1,recalibrated,0.23970429599285126,30375,375,0.012345679012345678,0.25,0.0,0.003115264797507788,5.2100003813393414e-05,0.905203000002075,0.0059,0.8519088919510416,0.9780383398473851,0.9106268682580253,0.9853397594634028,39764,236,1827,10510,375,4898.0,4455065.0,28934.365245,375,4898.0,4455065.0,28934.365245,True,False,0.8134655291676274,4337,0.99575,4000,0.74975,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9420675537359263,0.2,2,fixed,0.7930201292037964,30750,750,0.024390243902439025,0.25,0.0,0.006211180124223602,4.7999987145885825e-05,0.8331732000078773,0.00035,0.8285644808300235,0.9986322782336851,0.9056837815088823,0.9827867137472643,39986,14,2115,10222,750,9564.0,8554417.0,56848.553982,375,4666.0,4099352.0,27914.188737,True,False,0.7585888863269541,4337,0.9935,4000,0.7395,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9420675537359263,0.2,2,recalibrated,0.18977656960487366,30750,750,0.024390243902439025,0.25,0.0,0.006211180124223602,4.7999987145885825e-05,0.8331732000078773,0.00975,0.8552322282564643,0.964354263778448,0.9065211787954292,0.9827867137472643,39610,390,1786,10551,750,9564.0,8554417.0,56848.553982,375,4666.0,4099352.0,27914.188737,True,False,0.8245330873875951,4337,0.99625,4000,0.7475,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9363357215967246,0.2,3,fixed,0.7930201292037964,31125,1125,0.03614457831325301,0.25,0.0,0.009287925696594427,3.3899996196851134e-05,0.7891178999998374,0.000625,0.8255653724568371,0.9975514201762977,0.9034461347407637,0.9870024610926481,39975,25,2152,10185,1125,14539.0,12727554.0,85630.11531699999,375,4975.0,4173137.0,28781.561335,True,False,0.7475213281069863,4337,0.99425,4000,0.7415,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9363357215967246,0.2,3,recalibrated,0.35181093215942383,31125,1125,0.03614457831325301,0.25,0.0,0.009287925696594427,3.3899996196851134e-05,0.7891178999998374,0.00985,0.8548269433411688,0.9639853747714808,0.9061305151007433,0.9870024610926481,39606,394,1791,10546,1125,14539.0,12727554.0,85630.11531699999,375,4975.0,4173137.0,28781.561335,True,False,0.8134655291676274,4337,0.9955,4000,0.759,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9392016376663255,0.2,4,fixed,0.7930201292037964,31500,1500,0.047619047619047616,0.25,0.0,0.012345679012345678,3.7699981476180255e-05,0.766278399998555,0.000525,0.8307530193726189,0.9979552093476144,0.9067103109656302,0.9881565169814379,39979,21,2088,10249,1500,19368.0,16931000.0,114606.29032499998,375,4829.0,4203446.0,28976.175008,True,False,0.76343094304819,4337,0.99325,4000,0.74125,4000,,1.0,cicids,,,,,,,0.25
s0,xgboost,1,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.1,0.9392016376663255,0.2,4,recalibrated,0.2052808403968811,31500,1500,0.047619047619047616,0.25,0.0,0.012345679012345678,3.7699981476180255e-05,0.766278399998555,0.01,0.8659317500202642,0.9639086889831273,0.9122971818958154,0.9881565169814379,39600,400,1654,10683,1500,19368.0,16931000.0,114606.29032499998,375,4829.0,4203446.0,28976.175008,True,False,0.8319114595342403,4337,0.99625,4000,0.7725,4000,,1.0,cicids,,,,,,,0.25
