scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9363357215967246,0.2,0,fixed,0.32942160964012146,30000,0,0.0,,,0.0,0.0,2.7501812999980757,0.012675,0.8043284428953554,0.9513902205177373,0.8717002679316554,0.9834592121261246,39493,507,2414,9923,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8102374913534701,4337,0.99475,4000,0.6075,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9363357215967246,0.2,0,recalibrated,0.3517208993434906,30000,0,0.0,,,0.0,0.0,2.7501812999980757,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9381780962128966,0.2,1,fixed,0.32942160964012146,30375,375,0.012345679012345678,0.8073594992520696,0.0,0.009991162986330996,9.699999645818025e-05,0.8264875000022585,0.005225,0.8506119802220962,0.9804727646454265,0.9109375000000001,0.9847880207911162,39791,209,1843,10494,375,5248.0,4273480.0,28265.757576,375,5248.0,4273480.0,28265.757576,True,False,0.813004380908462,4337,0.9955,4000,0.7465,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9381780962128966,0.2,1,recalibrated,0.2373988777399063,30375,375,0.012345679012345678,0.8073594992520696,0.0,0.009991162986330996,9.699999645818025e-05,0.8264875000022585,0.00595,0.8546648293750506,0.9779261732517158,0.9121501795060339,0.9847880207911162,39762,238,1793,10544,375,5248.0,4273480.0,28265.757576,375,5248.0,4273480.0,28265.757576,True,False,0.8233802167396818,4337,0.99575,4000,0.7475,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9410440122824975,0.2,2,fixed,0.32942160964012146,30750,750,0.024390243902439025,0.8022973903210155,0.0,0.01966304452531474,0.00011480000102892518,0.7596794000128284,0.0022,0.8437221366620734,0.9916166523768696,0.911710606989577,0.9859741823376834,39912,88,1928,10409,750,9950.0,8487246.0,55918.801165,375,4702.0,4213766.0,27653.043589,True,False,0.7936361540235186,4337,0.99575,4000,0.746,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9410440122824975,0.2,2,recalibrated,0.18714573979377747,30750,750,0.024390243902439025,0.8022973903210155,0.0,0.01966304452531474,0.00011480000102892518,0.7596794000128284,0.009925,0.857582880765178,0.963833469982691,0.9076091618769838,0.9859741823376834,39603,397,1757,10580,750,9950.0,8487246.0,55918.801165,375,4702.0,4213766.0,27653.043589,True,False,0.827991699331335,4337,0.99625,4000,0.751,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9383828045035824,0.2,3,fixed,0.32942160964012146,31125,1125,0.03614457831325301,0.8097634799749107,0.0,0.029471204070296138,8.610000077169389e-05,0.8220465000049444,0.005175,0.8490718975439734,0.9806216064407415,0.9101177288327034,0.9855205844208479,39793,207,1862,10475,1125,14703.0,12676005.0,84750.987646,375,4753.0,4188759.0,28832.186481,True,False,0.8067788794097303,4337,0.9955,4000,0.7485,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9383828045035824,0.2,3,recalibrated,0.24893291294574738,31125,1125,0.03614457831325301,0.8097634799749107,0.0,0.029471204070296138,8.610000077169389e-05,0.8220465000049444,0.0083,0.852233119883278,0.9693896367324359,0.9070439546219213,0.9855205844208479,39668,332,1823,10514,1125,14703.0,12676005.0,84750.987646,375,4753.0,4188759.0,28832.186481,True,False,0.813004380908462,4337,0.99625,4000,0.75075,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9297850562947799,0.2,4,fixed,0.32942160964012146,31500,1500,0.047619047619047616,0.8165448686502162,0.0,0.039225763631885686,0.00011850000009872019,0.8007757000013953,0.005175,0.847856042798087,0.9805943564263617,0.9094070596418014,0.9847441233687282,39793,207,1877,10460,1500,19462.0,16902488.0,113947.713391,375,4759.0,4226483.0,29196.725745,True,False,0.8040119898547383,4337,0.996,4000,0.74725,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.1,0.9297850562947799,0.2,4,recalibrated,0.18033255636692047,31500,1500,0.047619047619047616,0.8165448686502162,0.0,0.039225763631885686,0.00011850000009872019,0.8007757000013953,0.0083,0.8584745075788279,0.9696054197564772,0.9106620808254514,0.9847441233687282,39668,332,1746,10591,1500,19462.0,16902488.0,113947.713391,375,4759.0,4226483.0,29196.725745,True,False,0.8291445699792483,4337,0.9965,4000,0.75225,4000,,1.0,cicids,8.0,2.0,all,0.0,fixed,8.0,
