scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.05,0,fixed,0.26829659938812256,30000,0,0.0,,,0.0,0.0,0.9961002000000008,0.015725,0.837967090864878,0.942646120178718,0.8872296601441813,0.9802114259949745,39371,629,1999,10338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8183075858888633,4337,0.996,4000,0.70125,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.05,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,0.9961002000000008,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.93510747185261,0.05,1,fixed,0.26829659938812256,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.6100000468431972e-05,1.070727899999838,0.0136,0.8480181567642052,0.9505724150463384,0.8963715032343742,0.9863062140309637,39456,544,1875,10462,79,968.0,910925.0,6431.711767,79,968.0,910925.0,6431.711767,True,False,0.8072400276688956,4337,0.99625,4000,0.744,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.93510747185261,0.05,1,recalibrated,0.29473528265953064,30079,79,0.002626417101632368,1.0,0.0,0.002626417101632368,2.6100000468431972e-05,1.070727899999838,0.0064,0.847774985815028,0.9761082594493701,0.9074266874891549,0.9863062140309637,39744,256,1878,10459,79,968.0,910925.0,6431.711767,79,968.0,910925.0,6431.711767,True,False,0.8065483052801475,4337,0.99625,4000,0.744,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9349027635619243,0.05,2,fixed,0.26829659938812256,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,2.6100000468431972e-05,1.1063364000001457,0.00585,0.8457485612385507,0.9780652418447694,0.9071071506194305,0.9860637827267569,39766,234,1903,10434,158,1960.0,1775520.0,12056.159627000001,79,992.0,864595.0,5624.44786,True,False,0.801475674429329,4337,0.996,4000,0.7435,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9349027635619243,0.05,2,recalibrated,0.20504577457904816,30158,158,0.005239074209165064,1.0,0.0,0.005239074209165064,2.6100000468431972e-05,1.1063364000001457,0.00915,0.8544216584258734,0.9664435683506005,0.9069867492686283,0.9860637827267569,39634,366,1796,10541,158,1960.0,1775520.0,12056.159627000001,79,992.0,864595.0,5624.44786,True,False,0.8243025132580124,4337,0.996,4000,0.7455,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.05,3,fixed,0.26829659938812256,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,1.9100001736660488e-05,1.1046000000005733,0.005675,0.8566101969684689,0.9789717461787865,0.9137126059138855,0.9878420503363865,39773,227,1769,10568,237,3003.0,2636611.0,18184.781249,79,1043.0,861091.0,6128.621622,True,False,0.827991699331335,4337,0.996,4000,0.74825,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.05,3,recalibrated,0.22593779861927032,30237,237,0.007838079174521282,1.0,0.0,0.007838079174521282,1.9100001736660488e-05,1.1046000000005733,0.008975,0.8613115019858961,0.9673190714610833,0.9112426035502958,0.9878420503363865,39641,359,1711,10626,237,3003.0,2636611.0,18184.781249,79,1043.0,861091.0,6128.621622,True,False,0.8346783490892322,4337,0.99625,4000,0.75525,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.936949846468782,0.05,4,fixed,0.26829659938812256,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,1.8100001398124732e-05,1.0731629000001703,0.009725,0.8591229634433006,0.9645977429923553,0.9088102893890675,0.9887177119640107,39611,389,1738,10599,316,3980.0,3465587.0,24341.583913,79,977.0,828976.0,6156.802664,True,False,0.8100069172238875,4337,0.99575,4000,0.77575,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.936949846468782,0.05,4,recalibrated,0.2536723017692566,30316,316,0.010423538725425518,1.0,0.0,0.010423538725425518,1.8100001398124732e-05,1.0731629000001703,0.01,0.863013698630137,0.9637910744998642,0.9106226479644202,0.9887177119640107,39600,400,1690,10647,316,3980.0,3465587.0,24341.583913,79,977.0,828976.0,6156.802664,True,False,0.819229882407194,4337,0.996,4000,0.7775,4000,,1.0,cicids,,,
