scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9379733879222109,0.2,0,fixed,0.26829659938812256,30000,0,0.0,,,0.0,0.0,1.38427159999992,0.015725,0.837967090864878,0.942646120178718,0.8872296601441813,0.9802114259949745,39371,629,1999,10338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8183075858888633,4337,0.996,4000,0.70125,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9379733879222109,0.2,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,1.38427159999992,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9346980552712385,0.2,1,fixed,0.26829659938812256,30375,375,0.012345679012345678,0.976,0.024,0.012052953961667655,1.0291198999984772,1.288344099999449,0.005525,0.8564480830023506,0.979512376008158,0.9138557343020238,0.9870537134230364,39779,221,1771,10566,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.8199216047959419,4337,0.996,4000,0.7565,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9346980552712385,0.2,1,recalibrated,0.22454974055290222,30375,375,0.012345679012345678,0.976,0.024,0.012052953961667655,1.0291198999984772,1.288344099999449,0.0071,0.8597714193077733,0.9739234230098246,0.9132942999827794,0.9870537134230364,39716,284,1730,10607,375,4785.0,4112236.0,28643.379634,375,4785.0,4112236.0,28643.379634,True,False,0.8213050495734379,4337,0.996,4000,0.76525,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.934288638689867,0.2,2,fixed,0.26829659938812256,30750,750,0.024390243902439025,0.992,0.008,0.02419984387197502,0.685814800001026,1.1415992000002007,0.00685,0.8568533679176461,0.9747349008759797,0.9120006901906652,0.9897492765664262,39726,274,1766,10571,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.8012451002997464,4337,0.9955,4000,0.7785,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.934288638689867,0.2,2,recalibrated,0.21839068830013275,30750,750,0.024390243902439025,0.992,0.008,0.02419984387197502,0.685814800001026,1.1415992000002007,0.01,0.8723352516819324,0.9641641282924207,0.9159538703774628,0.9897492765664262,39600,400,1575,10762,750,9588.0,8302299.0,57107.940508,375,4803.0,4190063.0,28464.560874,True,False,0.8113903620013835,4337,0.9955,4000,0.81525,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9359263050153531,0.2,3,fixed,0.26829659938812256,31125,1125,0.03614457831325301,0.9928888888888889,0.0071111111111111115,0.035896776681556705,0.6919601999998122,1.1013022999995883,0.002425,0.8625273567317825,0.9909666604581859,0.9222968580715059,0.9897641018886277,39903,97,1696,10641,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.8169241411113674,4337,0.99525,4000,0.77925,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9359263050153531,0.2,3,recalibrated,0.169022798538208,31125,1125,0.03614457831325301,0.9928888888888889,0.0071111111111111115,0.035896776681556705,0.6919601999998122,1.1013022999995883,0.00945,0.8920320985652914,0.9667925854344197,0.9279089376053963,0.9897641018886277,39622,378,1332,11005,1125,14414.0,12680127.0,86686.598063,375,4826.0,4377828.0,29578.657555,True,False,0.853124279455845,4337,0.99625,4000,0.83,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9349027635619243,0.2,4,fixed,0.26829659938812256,31500,1500,0.047619047619047616,0.9933333333333333,0.006666666666666667,0.04731660844712607,0.6768259000000398,1.2728700000006938,0.011625,0.8671476047661506,0.958344531040043,0.9104680851063831,0.9899446522655426,39535,465,1639,10698,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.8136961032972101,4337,0.996,4000,0.79625,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9349027635619243,0.2,4,recalibrated,0.2978218197822571,31500,1500,0.047619047619047616,0.9933333333333333,0.006666666666666667,0.04731660844712607,0.6768259000000398,1.2728700000006938,0.008375,0.8648780092404961,0.9695592912312585,0.9142318567389256,0.9899446522655426,39665,335,1667,10670,1500,19088.0,16844851.0,115813.60607499999,375,4674.0,4164724.0,29127.008012,True,False,0.8116209361309661,4337,0.996,4000,0.7915,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9357215967246674,0.2,5,fixed,0.26829659938812256,31875,1875,0.058823529411764705,0.9941333333333333,0.005866666666666667,0.058498619131308056,0.8519024000015634,1.41446470000119,0.010275,0.8733889924617005,0.9632576434829251,0.9161246439654807,0.9899465591310691,39589,411,1562,10775,1875,23959.0,20986207.0,144941.32552399999,375,4871.0,4141356.0,29127.719449,True,False,0.8146183998155407,4337,0.99625,4000,0.81425,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9357215967246674,0.2,5,recalibrated,0.28010186553001404,31875,1875,0.058823529411764705,0.9941333333333333,0.005866666666666667,0.058498619131308056,0.8519024000015634,1.41446470000119,0.00965,0.8718489097835779,0.9653563094597021,0.9162230077941991,0.9899465591310691,39614,386,1581,10756,1875,23959.0,20986207.0,144941.32552399999,375,4871.0,4141356.0,29127.719449,True,False,0.8118515102605488,4337,0.99625,4000,0.8125,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9420675537359263,0.2,6,fixed,0.26829659938812256,32250,2250,0.06976744186046512,0.9955555555555555,0.0044444444444444444,0.06947890818858561,0.8297093000001041,1.7339365999996517,0.0174,0.8824673745643187,0.9399119399119399,0.9102842809364547,0.9909824298857096,39304,696,1450,10887,2250,28794.0,25182479.0,171891.88731999998,375,4835.0,4196272.0,26950.561796,True,False,0.8268388286834217,4337,0.99625,4000,0.829,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9420675537359263,0.2,6,recalibrated,0.3192014992237091,32250,2250,0.06976744186046512,0.9955555555555555,0.0044444444444444444,0.06947890818858561,0.8297093000001041,1.7339365999996517,0.00975,0.873794277376996,0.9650850492390332,0.917173607861488,0.9909824298857096,39610,390,1557,10780,2250,28794.0,25182479.0,171891.88731999998,375,4835.0,4196272.0,26950.561796,True,False,0.8189993082776112,4337,0.996,4000,0.811,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9373592630501535,0.2,7,fixed,0.26829659938812256,32625,2625,0.08045977011494253,0.9958095238095238,0.004190476190476191,0.08014962899368369,0.8478411000014603,1.3115508999999292,0.01715,0.894301694090946,0.9414625821315812,0.917276355171267,0.9908233251600875,39314,686,1304,11033,2625,33673.0,29437079.0,200794.29819699997,375,4879.0,4254600.0,28902.410877,True,False,0.8256859580355084,4337,0.99625,4000,0.86675,4000,,1.0,cicids,,,
s0,xgboost,4,accumulate,fixed_ratio,auto_malicious,loss,0.1,0.9373592630501535,0.2,7,recalibrated,0.3839762508869171,32625,2625,0.08045977011494253,0.9958095238095238,0.004190476190476191,0.08014962899368369,0.8478411000014603,1.3115508999999292,0.009725,0.8619599578503688,0.9647101515014062,0.9104452054794521,0.9908233251600875,39611,389,1703,10634,2625,33673.0,29437079.0,200794.29819699997,375,4879.0,4254600.0,28902.410877,True,False,0.8067788794097303,4337,0.9955,4000,0.78825,4000,,1.0,cicids,,,
