scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.5,0,fixed,0.7930201292037964,30000,0,0.0,,,0.0,0.0,0.7213783000006515,0.000525,0.7422387938720921,0.997711919808237,0.851220079014641,0.9807415579152144,39979,21,3180,9157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7602029052340328,4337,0.9935,4000,0.4715,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9408393039918117,0.5,0,recalibrated,0.29643574357032776,30000,0,0.0,,,0.0,0.0,0.7213783000006515,0.00875,0.8339142417119235,0.9670990787742056,0.895582154515778,0.9807415579152144,39650,350,2049,10288,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.9955,4000,0.70025,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.939611054247697,0.5,1,fixed,0.7930201292037964,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,1.5499997971346602e-05,0.8581790000025649,0.00045,0.7720677636378374,0.9981138006916064,0.8706581352833639,0.9896982116803112,39982,18,2812,9525,1500,98539.56208645058,154666259280.9421,4678347.161746793,1500,98539.56208645058,154666259280.9421,4678347.161746793,True,False,0.6947198524325571,4337,0.99,4000,0.638,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.939611054247697,0.5,1,recalibrated,0.2861499488353729,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,1.5499997971346602e-05,0.8581790000025649,0.009625,0.8434789657128962,0.9643221202854231,0.8998616395710828,0.9896982116803112,39615,385,1931,10406,1500,98539.56208645058,154666259280.9421,4678347.161746793,1500,98539.56208645058,154666259280.9421,4678347.161746793,True,False,0.7936361540235186,4337,0.99625,4000,0.74475,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9480040941658137,0.5,2,fixed,0.7930201292037964,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,4.140000237384811e-05,0.8024029999978666,0.00035,0.7581259625516739,0.9985053912672147,0.8618687799483966,0.9891294084866661,39986,14,2984,9353,3000,189974.89015324163,376677647648.9374,9391724.22945088,1500,91435.32806679107,222011388367.9953,4713377.067704086,True,False,0.6905695181000692,4337,0.988,4000,0.6015,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9480040941658137,0.5,2,recalibrated,0.29411086440086365,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,4.140000237384811e-05,0.8024029999978666,0.0092,0.81908081381211,0.9648620261625132,0.8860149057430952,0.9891294084866661,39632,368,2232,10105,3000,189974.89015324163,376677647648.9374,9391724.22945088,1500,91435.32806679107,222011388367.9953,4713377.067704086,True,False,0.7779571132118976,4337,0.995,4000,0.68775,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9447287615148413,0.5,3,fixed,0.7930201292037964,34500,4500,0.13043478260869565,1.0,0.0,0.13043478260869565,2.769999991869554e-05,0.8404933999991044,0.00025,0.7640431223149874,0.9989402289105553,0.8658430165801682,0.9907212257842263,39990,10,2911,9426,4500,287696.328858756,491735730674.56177,13984912.371055447,1500,97721.43870551433,115058083025.6244,4593188.141604566,True,False,0.6841134424717547,4337,0.9935,4000,0.62125,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9447287615148413,0.5,3,recalibrated,0.11779352277517319,34500,4500,0.13043478260869565,1.0,0.0,0.13043478260869565,2.769999991869554e-05,0.8404933999991044,0.0087,0.8459917321877279,0.9677329624478442,0.9027765764207247,0.9907212257842263,39652,348,1900,10437,4500,287696.328858756,491735730674.56177,13984912.371055447,1500,97721.43870551433,115058083025.6244,4593188.141604566,True,False,0.8162324187226193,4337,0.99725,4000,0.727,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9494370522006141,0.5,4,fixed,0.7930201292037964,36000,6000,0.16666666666666666,1.0,0.0,0.16666666666666666,2.130000211764127e-05,0.8545353000008618,0.000225,0.7574775066872012,0.99903784477229,0.8616476879811904,0.9894325909864635,39991,9,2992,9345,6000,387942.24415223184,723917521322.1598,18661867.027360223,1500,100245.91529347582,232181790647.59802,4676954.656304778,True,False,0.6578279916993314,4337,0.99025,4000,0.63275,4000,1.5,1.0,cicids,,,
s0j,xgboost,1,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9494370522006141,0.5,4,recalibrated,0.18880878388881683,36000,6000,0.16666666666666666,1.0,0.0,0.16666666666666666,2.130000211764127e-05,0.8545353000008618,0.009625,0.831644646186269,0.9638327853452325,0.8928726829692804,0.9894325909864635,39615,385,2077,10260,6000,387942.24415223184,723917521322.1598,18661867.027360223,1500,100245.91529347582,232181790647.59802,4676954.656304778,True,False,0.7747290753977404,4337,0.99675,4000,0.72825,4000,1.5,1.0,cicids,,,
