model,threshold_mode,jitter,poison_ratio,fidelity_median,n_seeds,delta_fpr,delta_fpr_sd,delta_tpr,delta_tpr_sd,sigma_control_fpr,sigma_control_tpr,exceeds_noise
rf,fixed,0.0,0.05,0.49065162348572827,5,0.0007750204933303801,0.0006882629041817683,0.014181543877294468,0.005547785917232723,0.0013838251252307778,0.009132288876889659,False
rf,fixed,0.0,0.2,0.4910401899415679,5,0.0109993293091885,0.0042866211818460564,0.04204174000502894,0.00638444638351421,0.0013838251252307778,0.009132288876889659,True
rf,fixed,0.3,0.05,0.528299852512463,5,0.00232506147999108,0.001181108145534486,0.02479255720392255,0.013154245399721773,0.0013838251252307778,0.009132288876889659,False
rf,fixed,0.3,0.2,0.5270068208678204,5,0.01451673000968778,0.003458377930758298,0.05567010309278355,0.00575750518665183,0.0013838251252307778,0.009132288876889659,True
rf,fixed,1.5,0.05,1.1947116189992601,5,0.0015947537074298003,0.0012870827619443819,0.031983907467940664,0.010825903061909517,0.0013838251252307778,0.009132288876889659,False
rf,fixed,1.5,0.2,1.1931544059787318,5,0.00625978090766822,0.0017939344388122678,0.060950465174754845,0.012894537500331898,0.0013838251252307778,0.009132288876889659,True
rf,recalibrated,0.0,0.05,0.49065162348572827,5,0.0,0.0,0.007744531053557968,0.008127186134203896,0.0,0.007866573304813178,False
rf,recalibrated,0.0,0.2,0.4910401899415679,5,0.0,0.0,0.0014080965551923398,0.01410407063029984,0.0,0.007866573304813178,False
rf,recalibrated,0.3,0.05,0.528299852512463,5,0.0,0.0,0.01126477244153885,0.015978585145410076,0.0,0.007866573304813178,False
rf,recalibrated,0.3,0.2,0.5270068208678204,5,0.0,0.0,-0.0082977118430978,0.009971023414080132,0.0,0.007866573304813178,False
rf,recalibrated,1.5,0.05,1.1947116189992601,5,0.0,0.0,0.021825496605481498,0.011955448587214135,0.0,0.007866573304813178,False
rf,recalibrated,1.5,0.2,1.1931544059787318,5,-1.4904240256340128e-05,3.3326894366165416e-05,0.03324113653507663,0.013847109758901062,0.0,0.007866573304813178,False
xgboost,fixed,0.0,0.05,0.49065162348572827,5,0.0009836798569192802,0.0009148217327326064,0.01614282122202666,0.007825985860014715,0.0018537474191857208,0.008153773748273365,False
xgboost,fixed,0.0,0.2,0.4910401899415679,5,0.04621804903495044,0.08384962178964708,0.055569524767412656,0.03246524778882803,0.0018537474191857208,0.008153773748273365,True
xgboost,fixed,0.3,0.05,0.528299852512463,5,0.00013413816230718035,0.0007057909228736028,0.008800603469952196,0.002600975718578949,0.0018537474191857208,0.008153773748273365,False
xgboost,fixed,0.3,0.2,0.5270068208678204,5,0.0024442954020418802,0.0021709856268830705,0.023686195624842844,0.003794249838559483,0.0018537474191857208,0.008153773748273365,False
xgboost,fixed,1.5,0.05,1.1947116189992601,5,0.00047693568820332007,0.0004875304339755698,0.024390243902439,0.005448314981146682,0.0018537474191857208,0.008153773748273365,False
xgboost,fixed,1.5,0.2,1.1931544059787318,5,0.00150532826589164,0.0017013044996051366,0.0439527281870757,0.007862256651557558,0.0018537474191857208,0.008153773748273365,False
xgboost,recalibrated,0.0,0.05,0.49065162348572827,5,0.0,0.0,0.010258989187830058,0.007954197293758371,0.0,0.0035316004346540343,False
xgboost,recalibrated,0.0,0.2,0.4910401899415679,5,0.0,0.0,0.015790797083228593,0.014025177750981383,0.0,0.0035316004346540343,False
xgboost,recalibrated,0.3,0.05,0.528299852512463,5,0.0,0.0,0.009504651747548377,0.003692916445348873,0.0,0.0035316004346540343,False
xgboost,recalibrated,0.3,0.2,0.5270068208678204,5,0.0,0.0,0.012572290671360342,0.0021112466210393157,0.0,0.0035316004346540343,False
xgboost,recalibrated,1.5,0.05,1.1947116189992601,5,0.0,0.0,0.02257983404576318,0.005017588448773559,0.0,0.0035316004346540343,False
xgboost,recalibrated,1.5,0.2,1.1931544059787318,5,0.0,0.0,0.035906462157405075,0.004238931961355107,0.0,0.0035316004346540343,False
