model,threshold_mode,metric,mean,sigma_control,round_to_round_sd,std_across_seeds,n_obs,n_seeds
rf,fixed,fpr,0.008511811610403106,0.0013838251252307778,0.0007334184731538044,0.0012875939554579101,50,5
rf,fixed,tpr,0.8745436258486297,0.009132288876889659,0.0057168468030951245,0.007992133091996801,50,5
rf,fixed,auroc,0.9892665661595459,0.001426892372819483,0.0014307081485413636,0.00019126885201495384,50,5
rf,recalibrated,fpr,0.0099858409717564,0.0,0.0,0.0,50,5
rf,recalibrated,tpr,0.8848277596178025,0.007866573304813178,0.007641398154353153,0.0021053688740907813,50,5
rf,recalibrated,auroc,0.9892665661595459,0.001426892372819483,0.0014307081485413636,0.00019126885201495384,50,5
xgboost,fixed,fpr,0.008660854012966637,0.0018537474191857208,0.0004964321414752514,0.0019763677299090426,50,5
xgboost,fixed,tpr,0.8676439527281871,0.008153773748273365,0.003244040480256956,0.00833392862810587,50,5
xgboost,fixed,auroc,0.9861108130825201,0.0011347884218602794,0.0011389052627999753,0.00019375241183328527,50,5
xgboost,recalibrated,fpr,0.0099858409717564,0.0,0.0,0.0,50,5
xgboost,recalibrated,tpr,0.8745989439275835,0.0035316004346540343,0.0035595360589386095,0.0006175541939354942,50,5
xgboost,recalibrated,auroc,0.9861108130825201,0.0011347884218602794,0.0011389052627999753,0.00019375241183328527,50,5
