scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,4,0.2,0,fixed,0.48527203037072303,28515,0,0.0,0.00797376853714882,0.8697510686447071,0.9699943914750421,0.9171417208007425,0.9886798697548538,13312,107,518,3459,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9408199643493761,2805,0.9965277777777778,576,0.412751677852349,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,0,recalibrated,0.4260525825259242,28515,0,0.0,0.009985840971756465,0.885592154890621,0.9633479212253829,0.9228350582994891,0.9886798697548538,13285,134,455,3522,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9500891265597148,2805,0.9965277777777778,576,0.4748322147651007,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,1,fixed,0.48527203037072303,28871,356,0.012330712479650861,0.008271853342275877,0.8813175760623586,0.9693030973451328,0.9232187541156328,0.9899651684120124,13308,111,472,3505,356,8162.379570573568,1938185.357082367,1903.0677320273437,356,8162.379570573568,1938185.357082367,1903.0677320273437,True,False,0.9436720142602496,2805,0.9982638888888888,576,0.4748322147651007,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,1,recalibrated,0.4466014546096222,28871,356,0.012330712479650861,0.009985840971756465,0.8926326376665829,0.9636264929424538,0.9267719618848715,0.9899651684120124,13285,134,427,3550,356,8162.379570573568,1938185.357082367,1903.0677320273437,356,8162.379570573568,1938185.357082367,1903.0677320273437,True,False,0.948663101604278,2805,0.9982638888888888,576,0.5268456375838926,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,2,fixed,0.48527203037072303,29228,713,0.0243944163131244,0.007228556524331172,0.8742770932863968,0.9728595411303861,0.9209376241557409,0.9876465415763563,13322,97,500,3477,713,15974.433932036161,3709397.518016815,3810.194590316406,357,7812.054361462593,1771212.1609344482,1907.1268582890625,True,False,0.9418894830659537,2805,0.9982638888888888,576,0.436241610738255,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,2,recalibrated,0.4335124414019333,29228,713,0.0243944163131244,0.009985840971756465,0.885592154890621,0.9633479212253829,0.9228350582994891,0.9876465415763563,13285,134,455,3522,713,15974.433932036161,3709397.518016815,3810.194590316406,357,7812.054361462593,1771212.1609344482,1907.1268582890625,True,False,0.9468805704099822,2805,0.9982638888888888,576,0.48825503355704697,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,3,fixed,0.48527203037072303,29584,1069,0.03613439697133586,0.00797376853714882,0.8840834800100579,0.9704664642561414,0.9252631578947369,0.9877961835963303,13312,107,461,3516,1069,23198.928309738636,5510617.489009857,5479.617745625,356,7224.494377702475,1801219.970993042,1669.4231553085938,True,False,0.9468805704099822,2805,0.9982638888888888,576,0.47818791946308725,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,3,recalibrated,0.4552246798497326,29584,1069,0.03613439697133586,0.009985840971756465,0.8881066130248931,0.9634478996181124,0.9242444066466047,0.9877961835963303,13285,134,445,3532,1069,23198.928309738636,5510617.489009857,5479.617745625,356,7224.494377702475,1801219.970993042,1669.4231553085938,True,False,0.948306595365419,2805,0.9982638888888888,576,0.4983221476510067,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,4,fixed,0.48527203037072303,29941,1426,0.04762699976620687,0.008048289738430584,0.8810661302489313,0.9700996677740864,0.923441823692186,0.9881661943836348,13311,108,473,3504,1426,31108.39942008257,7461784.363319397,7360.6973175,357,7909.471110343933,1951166.8743095398,1881.079571875,True,False,0.9443850267379679,2805,0.9947916666666666,576,0.47315436241610737,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,4,recalibrated,0.44386780042561286,29941,1426,0.04762699976620687,0.009985840971756465,0.8943927583605733,0.9636954754808995,0.9277516953573292,0.9881661943836348,13285,134,420,3557,1426,31108.39942008257,7461784.363319397,7360.6973175,357,7909.471110343933,1951166.8743095398,1881.079571875,True,False,0.9500891265597148,2805,0.9965277777777778,576,0.5335570469798657,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,5,fixed,0.48527203037072303,30297,1782,0.058817704723239925,0.009613234965347642,0.8865979381443299,0.9647058823529412,0.9240041928721173,0.987539912736554,13290,129,451,3526,1782,39415.56614392996,9235139.317302704,9082.38822278125,356,8307.16672384739,1773354.953983307,1721.69090528125,True,False,0.9454545454545454,2805,0.9982638888888888,576,0.5016778523489933,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,5,recalibrated,0.4785254780471455,30297,1782,0.058817704723239925,0.009985840971756465,0.8883580588383203,0.9634578674665939,0.9243851386708529,0.987539912736554,13285,134,444,3533,1782,39415.56614392996,9235139.317302704,9082.38822278125,356,8307.16672384739,1773354.953983307,1721.69090528125,True,False,0.9461675579322638,2805,0.9982638888888888,576,0.5100671140939598,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,6,fixed,0.48527203037072303,30654,2139,0.06977882168721863,0.008942544153811759,0.8825748051294946,0.9669421487603306,0.9228342316287629,0.9870562931880296,13299,120,467,3510,2139,47202.346302986145,10997924.828266144,10733.702014203125,357,7786.780159056187,1762785.51096344,1651.313791421875,True,False,0.9422459893048128,2805,0.9982638888888888,576,0.4899328859060403,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,6,recalibrated,0.45566954556375094,30654,2139,0.06977882168721863,0.009985840971756465,0.8898667337188836,0.9635175605771849,0.9252287581699347,0.9870562931880296,13285,134,438,3539,2139,47202.346302986145,10997924.828266144,10733.702014203125,357,7786.780159056187,1762785.51096344,1651.313791421875,True,False,0.946524064171123,2805,0.9982638888888888,576,0.5184563758389261,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,7,fixed,0.48527203037072303,31010,2495,0.08045791680103193,0.010432968179447054,0.891626854412874,0.9620184481823114,0.9254861020488059,0.9875757024007351,13279,140,431,3546,2495,54940.90780633688,13000687.740488052,12571.279452140625,356,7738.561503350735,2002762.9122219086,1837.5774379375,True,False,0.9500891265597148,2805,0.9965277777777778,576,0.5151006711409396,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,7,recalibrated,0.4944113310666963,31010,2495,0.08045791680103193,0.009985840971756465,0.889112396278602,0.9634877384196185,0.9248071139008762,0.9875757024007351,13285,134,441,3536,2495,54940.90780633688,13000687.740488052,12571.279452140625,356,7738.561503350735,2002762.9122219086,1837.5774379375,True,False,0.948663101604278,2805,0.9965277777777778,576,0.5050335570469798,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,8,fixed,0.48527203037072303,31367,2852,0.09092358210858546,0.01102913778970117,0.8848378174503394,0.9596400327242978,0.9207221350078493,0.9884304476501865,13271,148,458,3519,2852,62628.49542602897,14860564.861413956,14500.85208803125,357,7687.587619692087,1859877.1209259033,1929.572635890625,True,False,0.9497326203208556,2805,0.9982638888888888,576,0.4697986577181208,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,8,recalibrated,0.5022318859431257,31367,2852,0.09092358210858546,0.009985840971756465,0.8795574553683682,0.9631057268722467,0.9194375082139571,0.9884304476501865,13285,134,479,3498,2852,62628.49542602897,14860564.861413956,14500.85208803125,357,7687.587619692087,1859877.1209259033,1929.572635890625,True,False,0.948663101604278,2805,0.9982638888888888,576,0.4395973154362416,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,9,fixed,0.48527203037072303,31723,3208,0.10112536645336191,0.009613234965347642,0.8876037213980387,0.9647444657010112,0.9245678365636458,0.9857325065883431,13290,129,447,3530,3208,70608.9722365439,16637909.876768112,16215.369112453125,356,7980.476810514927,1777345.0153541565,1714.517024421875,True,False,0.948306595365419,2805,0.9982638888888888,576,0.4949664429530201,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,9,recalibrated,0.4782745035583858,31723,3208,0.10112536645336191,0.009985840971756465,0.8886095046517476,0.9634678298800436,0.924525833878352,0.9857325065883431,13285,134,443,3534,3208,70608.9722365439,16637909.876768112,16215.369112453125,356,7980.476810514927,1777345.0153541565,1714.517024421875,True,False,0.9490196078431372,2805,0.9982638888888888,576,0.4983221476510067,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,10,fixed,0.48527203037072303,32079,3564,0.1111007200972599,0.010283925776883524,0.8951470958008549,0.9626825310978907,0.9276872964169383,0.9861386724316883,13281,138,417,3560,3564,78002.81810936332,18727506.456502914,18002.1635636875,356,7393.845872819424,2089596.5797348022,1786.794451234375,True,False,0.9508021390374332,2805,0.9965277777777778,576,0.535234899328859,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,10,recalibrated,0.49005385683786945,32079,3564,0.1111007200972599,0.009985840971756465,0.8948956499874277,0.9637151367451936,0.928031290743155,0.9861386724316883,13285,134,418,3559,3564,78002.81810936332,18727506.456502914,18002.1635636875,356,7393.845872819424,2089596.5797348022,1786.794451234375,True,False,0.9508021390374332,2805,0.9965277777777778,576,0.5335570469798657,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,11,fixed,0.48527203037072303,32436,3921,0.12088420273769886,0.011997913406364111,0.8961528790545638,0.9567785234899329,0.9254739028823681,0.9854253619389064,13258,161,413,3564,3921,85962.03894069791,20604799.116846085,19772.249057453126,357,7959.220831334591,1877292.6603431702,1770.085493765625,True,False,0.9490196078431372,2805,0.9982638888888888,576,0.5486577181208053,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,11,recalibrated,0.514991852810191,32436,3921,0.12088420273769886,0.009985840971756465,0.8893638420920291,0.9634976845546173,0.9249476987447698,0.9854253619389064,13285,134,440,3537,3921,85962.03894069791,20604799.116846085,19772.249057453126,357,7959.220831334591,1877292.6603431702,1770.085493765625,True,False,0.9461675579322638,2805,0.9982638888888888,576,0.5167785234899329,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,12,fixed,0.48527203037072303,32792,4277,0.13042815320809953,0.012445040614054699,0.8941413125471461,0.9551437013161429,0.9236363636363636,0.9847399430247284,13252,167,421,3556,4277,93472.83459036052,22201778.403365135,21632.09290915625,356,7510.795649662614,1596979.2865190506,1859.843851703125,True,False,0.9522281639928699,2805,1.0,576,0.5184563758389261,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,12,recalibrated,0.5273826965278493,32792,4277,0.13042815320809953,0.009985840971756465,0.8815690218757858,0.9631868131868132,0.9205724038335302,0.9847399430247284,13285,134,471,3506,4277,93472.83459036052,22201778.403365135,21632.09290915625,356,7510.795649662614,1596979.2865190506,1859.843851703125,True,False,0.9443850267379679,2805,1.0,576,0.4714765100671141,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,13,fixed,0.48527203037072303,33149,4634,0.13979305559745392,0.011997913406364111,0.8994216746291174,0.9569288389513109,0.9272845106934542,0.9856899431212294,13258,161,400,3577,4634,101061.30219428241,23962035.96222973,23417.588181671876,357,7588.46760392189,1760257.5588645935,1785.495272515625,True,False,0.9511586452762923,2805,0.9982638888888888,576,0.5604026845637584,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,13,recalibrated,0.518263218675608,33149,4634,0.13979305559745392,0.009985840971756465,0.8876037213980387,0.9634279475982532,0.9239628320900405,0.9856899431212294,13285,134,447,3530,4634,101061.30219428241,23962035.96222973,23417.588181671876,357,7588.46760392189,1760257.5588645935,1785.495272515625,True,False,0.9450980392156862,2805,0.9982638888888888,576,0.5100671140939598,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
a1,rf,4,0.2,14,fixed,0.48527203037072303,33505,4990,0.1489329950753619,0.012370519412772934,0.9047020367110887,0.9558979808714134,0.9295956594755199,0.9869223536489895,13253,166,379,3598,4990,109080.66719441116,25945645.689368248,25062.52325225,356,8019.365000128746,1983609.7271385193,1644.935070578125,True,False,0.9508021390374332,2805,1.0,576,0.5956375838926175,596,0.0,synthetic,0.49109977975988545,0.39756440491379624,0.6052252103081043,2000
