scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,3,0.2,0,fixed,0.3805566430091858,28515,0,0.0,0.008942544153811759,0.8697510686447071,0.9664710813076278,0.9155637903652727,0.986425017852203,13299,120,518,3459,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9561497326203209,2805,0.9982638888888888,576,0.3389261744966443,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,0,recalibrated,0.3338407576084137,28515,0,0.0,0.009985840971756465,0.8767915514206689,0.9629936481634908,0.9178731245064491,0.986425017852203,13285,134,490,3487,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9590017825311943,2805,0.9982638888888888,576,0.3724832214765101,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,1,fixed,0.3805566430091858,28871,356,0.012330712479650861,0.008942544153811759,0.8848378174503394,0.9670239076669415,0.9241071428571428,0.9922269627599924,13299,120,458,3519,356,38746.24911191285,57343165.960656606,41491.249059130205,356,38746.24911191285,57343165.960656606,41491.249059130205,True,False,0.9543672014260249,2805,0.9965277777777778,576,0.44966442953020136,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,1,recalibrated,0.34469369053840637,28871,356,0.012330712479650861,0.009985840971756465,0.8886095046517476,0.9634678298800436,0.924525833878352,0.9922269627599924,13285,134,443,3534,356,38746.24911191285,57343165.960656606,41491.249059130205,356,38746.24911191285,57343165.960656606,41491.249059130205,True,False,0.9557932263814617,2805,1.0,576,0.46476510067114096,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,2,fixed,0.3805566430091858,29228,713,0.0243944163131244,0.009315150160220583,0.8823233593160674,0.9656026417171161,0.9220864538168441,0.9898933454890773,13294,125,468,3509,713,102462.38043981764,112480609.53784953,88029.79164506722,357,63716.13132790479,55137443.577192925,46538.542585937015,True,False,0.9550802139037433,2805,0.9982638888888888,576,0.4278523489932886,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,2,recalibrated,0.3537391424179077,29228,713,0.0243944163131244,0.009985840971756465,0.885592154890621,0.9633479212253829,0.9228350582994891,0.9898933454890773,13285,134,455,3522,713,102462.38043981764,112480609.53784953,88029.79164506722,357,63716.13132790479,55137443.577192925,46538.542585937015,True,False,0.9572192513368984,2805,0.9982638888888888,576,0.4395973154362416,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,3,fixed,0.3805566430091858,29584,1069,0.03613439697133586,0.010134883374319994,0.8813175760623586,0.9626476242790443,0.9201890259910739,0.9925001447045454,13283,136,472,3505,1069,188675.3547078435,134592164.600747,134524.68143128796,356,86212.97426802586,22111555.06289745,46494.88978622073,True,False,0.9540106951871657,2805,0.9965277777777778,576,0.4278523489932886,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,3,recalibrated,0.3868982791900635,29584,1069,0.03613439697133586,0.009985840971756465,0.8800603469952225,0.9631260319207485,0.9197214557876757,0.9925001447045454,13285,134,477,3500,1069,188675.3547078435,134592164.600747,134524.68143128796,356,86212.97426802586,22111555.06289745,46494.88978622073,True,False,0.9536541889483066,2805,0.9965277777777778,576,0.4211409395973154,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,4,fixed,0.3805566430091858,29941,1426,0.04762699976620687,0.009315150160220583,0.8948956499874277,0.9660694896851248,0.929121524605143,0.9937457561843556,13294,125,418,3559,1426,242595.93017843523,191398964.23392808,161430.26440783683,357,53920.57547059171,56806799.63318111,26905.58297654888,True,False,0.9547237076648841,2805,0.9982638888888888,576,0.5134228187919463,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,4,recalibrated,0.3710409998893738,29941,1426,0.04762699976620687,0.009985840971756465,0.8966557706814181,0.9637837837837838,0.9290087273674612,0.9937457561843556,13285,134,411,3566,1426,242595.93017843523,191398964.23392808,161430.26440783683,357,53920.57547059171,56806799.63318111,26905.58297654888,True,False,0.9547237076648841,2805,0.9982638888888888,576,0.5251677852348994,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,5,fixed,0.3805566430091858,30297,1782,0.058817704723239925,0.00879350175124823,0.8926326376665829,0.9678298800436205,0.9287115761935906,0.9921741308447262,13301,118,427,3550,1782,295034.8985043936,206290653.77243564,212244.54557504578,356,52438.968325958376,14891689.538507558,50814.281167208945,True,False,0.9525846702317291,2805,0.9982638888888888,576,0.5083892617449665,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,5,recalibrated,0.34307679533958435,30297,1782,0.058817704723239925,0.009985840971756465,0.8974101081216997,0.9638131244936538,0.9294270833333332,0.9921741308447262,13285,134,408,3569,1782,295034.8985043936,206290653.77243564,212244.54557504578,356,52438.968325958376,14891689.538507558,50814.281167208945,True,False,0.9554367201426025,2805,0.9982638888888888,576,0.5268456375838926,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,6,fixed,0.3805566430091858,30654,2139,0.06977882168721863,0.008942544153811759,0.8943927583605733,0.9673646994832744,0.9294486542984061,0.9940609581927441,13299,120,420,3557,2139,342161.47618826013,224008066.4225177,228875.28566343532,357,47126.57768386653,17717412.65008206,16630.740088389553,True,False,0.9540106951871657,2805,0.9982638888888888,576,0.5134228187919463,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,6,recalibrated,0.3363494575023651,30654,2139,0.06977882168721863,0.009985840971756465,0.9016846869499623,0.9639784946236559,0.931791607119657,0.9940609581927441,13285,134,391,3586,2139,342161.47618826013,224008066.4225177,228875.28566343532,357,47126.57768386653,17717412.65008206,16630.740088389553,True,False,0.9561497326203209,2805,0.9982638888888888,576,0.552013422818792,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,7,fixed,0.3805566430091858,31010,2495,0.08045791680103193,0.009240628958938818,0.8946442041740005,0.9663226507332972,0.9291030160595377,0.994378015267496,13295,124,419,3558,2495,381681.36081683997,244351971.20828375,256948.20616117044,356,39519.884628579865,20343904.785766058,28072.920497735107,True,False,0.9500891265597148,2805,0.9965277777777778,576,0.535234899328859,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,7,recalibrated,0.3571902811527252,31010,2495,0.08045791680103193,0.009985840971756465,0.8986673371888358,0.9638619201725998,0.9301236174365648,0.994378015267496,13285,134,403,3574,2495,381681.36081683997,244351971.20828375,256948.20616117044,356,39519.884628579865,20343904.785766058,28072.920497735107,True,False,0.9511586452762923,2805,1.0,576,0.5536912751677853,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,8,fixed,0.3805566430091858,31367,2852,0.09092358210858546,0.009538713764065877,0.9006789036962535,0.9654986522911051,0.9319630545076103,0.9935557336794025,13291,128,395,3582,2852,424759.93017161236,260583685.28637898,347864.0047912741,357,43078.56935477238,16231714.078095242,90915.79863010367,True,False,0.9529411764705882,2805,0.9965277777777778,576,0.5620805369127517,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,8,recalibrated,0.3758832812309265,31367,2852,0.09092358210858546,0.009985840971756465,0.9009303495096807,0.9639494215765402,0.9313750974785547,0.9935557336794025,13285,134,394,3583,2852,424759.93017161236,260583685.28637898,347864.0047912741,357,43078.56935477238,16231714.078095242,90915.79863010367,True,False,0.9529411764705882,2805,0.9965277777777778,576,0.5637583892617449,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,9,fixed,0.3805566430091858,31723,3208,0.10112536645336191,0.009464192562784112,0.9107367362333417,0.9661242998132835,0.9376132539477091,0.9944305661121011,13292,127,355,3622,3208,463938.0727455292,284193507.3434452,375796.39076793904,356,39178.14257391684,23609822.057066202,27932.38597666497,True,False,0.9522281639928699,2805,0.9982638888888888,576,0.6308724832214765,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,9,recalibrated,0.36442455649375916,31723,3208,0.10112536645336191,0.009985840971756465,0.9129997485541865,0.9644090305444887,0.9380005166623611,0.9944305661121011,13285,134,346,3631,3208,463938.0727455292,284193507.3434452,375796.39076793904,356,39178.14257391684,23609822.057066202,27932.38597666497,True,False,0.9529411764705882,2805,0.9982638888888888,576,0.6426174496644296,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
a1,xgboost,3,0.2,10,fixed,0.3805566430091858,32079,3564,0.1111007200972599,0.008569938147402936,0.9041991450842344,0.9690110482349771,0.9354838709677419,0.9938555611226284,13304,115,381,3596,3564,499596.962588801,315825922.40732384,405563.83715972136,356,35658.8898432718,31632415.063878655,29767.44639178233,True,False,0.9518716577540107,2805,0.9965277777777778,576,0.5906040268456376,596,1.5,synthetic,1.2068503244208653,0.8916181523819754,1.5615843770946336,2000
