scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,rf,5,0.0,0,fixed,0.5170875561129169,28515,0,0.0,0.007154035323049408,0.8667337188835806,0.9729043183742591,0.9167553191489362,0.9894657526923337,13323,96,530,3447,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9415329768270945,2805,0.9965277777777778,576,0.38926174496644295,596,,synthetic
control,rf,5,0.0,0,recalibrated,0.43141856781895177,28515,0,0.0,0.009985840971756465,0.8901181795323108,0.9635274904735982,0.9253692327800287,0.9894657526923337,13285,134,437,3540,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9532976827094474,2805,0.9982638888888888,576,0.48825503355704697,596,,synthetic
control,rf,5,0.0,1,fixed,0.5170875561129169,28515,0,0.0,0.0058871749012594085,0.8639678149358814,0.977524893314367,0.9172450613988254,0.9884716338710609,13340,79,541,3436,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9319073083778966,2805,0.9982638888888888,576,0.41442953020134227,596,,synthetic
control,rf,5,0.0,1,recalibrated,0.41177225672877854,28515,0,0.0,0.009985840971756465,0.8888609504651748,0.9634777868629054,0.924666492283547,0.9884716338710609,13285,134,442,3535,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9508021390374332,2805,0.9982638888888888,576,0.49161073825503354,596,,synthetic
control,rf,5,0.0,2,fixed,0.5170875561129169,28515,0,0.0,0.008197332140994112,0.8619562484284636,0.9689089881288864,0.9123087159015303,0.9876967033203421,13309,110,549,3428,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9376114081996435,2805,0.9947916666666666,576,0.3775167785234899,596,,synthetic
control,rf,5,0.0,2,recalibrated,0.4699025994049121,28515,0,0.0,0.009985840971756465,0.8755343223535328,0.9629424778761062,0.917160542605031,0.9876967033203421,13285,134,495,3482,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9479500891265598,2805,0.9947916666666666,576,0.41946308724832215,596,,synthetic
control,rf,5,0.0,3,fixed,0.5170875561129169,28515,0,0.0,0.007079514121767643,0.8609504651747548,0.9730036942313157,0.9135538954108858,0.9896409908805125,13324,95,553,3424,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9390374331550803,2805,0.9930555555555556,576,0.36577181208053694,596,,synthetic
control,rf,5,0.0,3,recalibrated,0.4367010939537038,28515,0,0.0,0.009985840971756465,0.8820719135026401,0.9632070291048874,0.920855755348471,0.9896409908805125,13285,134,469,3508,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9493761140819964,2805,0.9947916666666666,576,0.4563758389261745,596,,synthetic
control,rf,5,0.0,4,fixed,0.5170875561129169,28515,0,0.0,0.00655786571279529,0.8614533568016093,0.974957313602732,0.9146976371645975,0.9906325706968133,13331,88,551,3426,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9315508021390374,2805,0.9947916666666666,576,0.40268456375838924,596,,synthetic
control,rf,5,0.0,4,recalibrated,0.41274509803921566,28515,0,0.0,0.009985840971756465,0.8896152879054564,0.9635076252723311,0.925088246829651,0.9906325706968133,13285,134,439,3538,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.946524064171123,2805,0.9982638888888888,576,0.5167785234899329,596,,synthetic
control,rf,5,0.0,5,fixed,0.5170875561129169,28515,0,0.0,0.007601162530739995,0.8725169725924063,0.971444568868981,0.919327063187177,0.9899227923253394,13317,102,507,3470,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9408199643493761,2805,0.9965277777777778,576,0.4312080536912752,596,,synthetic
control,rf,5,0.0,5,recalibrated,0.44598823645455793,28515,0,0.0,0.009985840971756465,0.8898667337188836,0.9635175605771849,0.9252287581699347,0.9899227923253394,13285,134,438,3539,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.948306595365419,2805,0.9982638888888888,576,0.5100671140939598,596,,synthetic
control,rf,5,0.0,6,fixed,0.5170875561129169,28515,0,0.0,0.006781429316640584,0.8571787779733467,0.974,0.9118630466764746,0.9885388566041758,13328,91,568,3409,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9365418894830659,2805,0.9965277777777778,576,0.348993288590604,596,,synthetic
control,rf,5,0.0,6,recalibrated,0.41707666485458667,28515,0,0.0,0.009985840971756465,0.8815690218757858,0.9631868131868132,0.9205724038335302,0.9885388566041758,13285,134,471,3506,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.948663101604278,2805,0.9965277777777778,576,0.4546979865771812,596,,synthetic
control,rf,5,0.0,7,fixed,0.5170875561129169,28515,0,0.0,0.006483344511513525,0.8617048026150365,0.9752418895845191,0.9149646242157256,0.9894930914986375,13332,87,550,3427,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9368983957219251,2805,0.9982638888888888,576,0.37583892617449666,596,,synthetic
control,rf,5,0.0,7,recalibrated,0.40511952400396667,28515,0,0.0,0.009985840971756465,0.8911239627860196,0.9635671560630777,0.925930764206401,0.9894930914986375,13285,134,433,3544,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9511586452762923,2805,0.9982638888888888,576,0.5050335570469798,596,,synthetic
control,rf,5,0.0,8,fixed,0.5170875561129169,28515,0,0.0,0.0069304717192041135,0.8521498617048027,0.9732912119471568,0.9087008982437325,0.9874112573259428,13326,93,588,3389,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9365418894830659,2805,0.9965277777777778,576,0.31543624161073824,596,,synthetic
control,rf,5,0.0,8,recalibrated,0.4096813327278436,28515,0,0.0,0.009985840971756465,0.880563238622077,0.9631463146314632,0.9200052541704978,0.9874112573259428,13285,134,475,3502,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9508021390374332,2805,0.9982638888888888,576,0.436241610738255,596,,synthetic
