scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,xgboost,4,0.0,0,fixed,0.4161447584629059,28515,0,0.0,0.008495416946121171,0.8652250440030174,0.9679324894514768,0.913701540095592,0.9854285848824871,13305,114,536,3441,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9522281639928699,2805,0.9947916666666666,576,0.33053691275167785,596,,synthetic
control,xgboost,4,0.0,0,recalibrated,0.36630022525787354,28515,0,0.0,0.009985840971756465,0.8692481770178526,0.9626844890002785,0.9135835095137421,0.9854285848824871,13285,134,520,3457,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9554367201426025,2805,0.9965277777777778,576,0.34060402684563756,596,,synthetic
control,xgboost,4,0.0,1,fixed,0.4161447584629059,28515,0,0.0,0.00782472613458529,0.8594417902941917,0.9701958558047119,0.9114666666666666,0.985759620538118,13314,105,559,3418,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9472370766488414,2805,0.9965277777777778,576,0.313758389261745,596,,synthetic
control,xgboost,4,0.0,1,recalibrated,0.32512158155441284,28515,0,0.0,0.009985840971756465,0.8720140809655519,0.9627984453081622,0.9151603113867265,0.985759620538118,13285,134,509,3468,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9529411764705882,2805,0.9982638888888888,576,0.3691275167785235,596,,synthetic
control,xgboost,4,0.0,2,fixed,0.4161447584629059,28515,0,0.0,0.008420895744839407,0.8589388986673372,0.9679795976197223,0.9102051691979749,0.9863259591822066,13306,113,561,3416,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9490196078431372,2805,0.9947916666666666,576,0.3036912751677852,596,,synthetic
control,xgboost,4,0.0,2,recalibrated,0.34201765060424805,28515,0,0.0,0.009985840971756465,0.8689967312044254,0.9626740947075209,0.913439936566671,0.9863259591822066,13285,134,521,3456,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9565062388591801,2805,0.9965277777777778,576,0.3338926174496644,596,,synthetic
control,xgboost,4,0.0,3,fixed,0.4161447584629059,28515,0,0.0,0.008495416946121171,0.8682423937641438,0.968040370058873,0.9154294803817603,0.9857889268390495,13305,114,524,3453,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9508021390374332,2805,0.9982638888888888,576,0.3540268456375839,596,,synthetic
control,xgboost,4,0.0,3,recalibrated,0.34695109724998474,28515,0,0.0,0.009985840971756465,0.8750314307266784,0.9629219701162147,0.9168752470030299,0.9857889268390495,13285,134,497,3480,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9568627450980393,2805,0.9982638888888888,576,0.37080536912751677,596,,synthetic
control,xgboost,4,0.0,4,fixed,0.4161447584629059,28515,0,0.0,0.008122810939712349,0.8642192607493085,0.9692611393119007,0.9137312242456467,0.9863311215133489,13310,109,540,3437,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9500891265597148,2805,0.9913194444444444,576,0.337248322147651,596,,synthetic
control,xgboost,4,0.0,4,recalibrated,0.3381406366825104,28515,0,0.0,0.009985840971756465,0.8727684184058335,0.9628294036061026,0.9155895542073331,0.9863311215133489,13285,134,506,3471,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9540106951871657,2805,0.9965277777777778,576,0.37080536912751677,596,,synthetic
control,xgboost,4,0.0,5,fixed,0.4161447584629059,28515,0,0.0,0.00797376853714882,0.8609504651747548,0.9696969696969697,0.9120937666489078,0.9847823846945557,13312,107,553,3424,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.948306595365419,2805,0.9947916666666666,576,0.32046979865771813,596,,synthetic
control,xgboost,4,0.0,5,recalibrated,0.3365413546562195,28515,0,0.0,0.009985840971756465,0.8722655267789792,0.9628087704690536,0.9153034300791557,0.9847823846945557,13285,134,508,3469,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9557932263814617,2805,0.9965277777777778,576,0.35906040268456374,596,,synthetic
control,xgboost,4,0.0,6,fixed,0.4161447584629059,28515,0,0.0,0.008420895744839407,0.8657279356298717,0.96822272215973,0.9141112438603478,0.9866566669220662,13306,113,534,3443,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9490196078431372,2805,0.9930555555555556,576,0.35067114093959734,596,,synthetic
control,xgboost,4,0.0,6,recalibrated,0.3414962589740753,28515,0,0.0,0.009985840971756465,0.8740256474729696,0.9628808864265928,0.9163042045604324,0.9866566669220662,13285,134,501,3476,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9543672014260249,2805,0.9947916666666666,576,0.37919463087248323,596,,synthetic
control,xgboost,4,0.0,7,fixed,0.4161447584629059,28515,0,0.0,0.008122810939712349,0.8574302237867739,0.9690252912759306,0.9098185699039487,0.9844786316310963,13310,109,567,3410,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9475935828877006,2805,0.9913194444444444,576,0.3036912751677852,596,,synthetic
control,xgboost,4,0.0,7,recalibrated,0.3421233594417572,28515,0,0.0,0.009985840971756465,0.8664822730701534,0.9625698324022346,0.9120021172422919,0.9844786316310963,13285,134,531,3446,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9540106951871657,2805,1.0,576,0.32550335570469796,596,,synthetic
control,xgboost,4,0.0,8,fixed,0.4161447584629059,28515,0,0.0,0.007899247335867055,0.865979381443299,0.9701408450704225,0.9151056197688322,0.9866387908280198,13313,106,533,3444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9508021390374332,2805,0.9982638888888888,576,0.3389261744966443,596,,synthetic
control,xgboost,4,0.0,8,recalibrated,0.3413360118865967,28515,0,0.0,0.009985840971756465,0.8772944430475232,0.96301407673199,0.9181578947368421,0.9866387908280198,13285,134,488,3489,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9579322638146167,2805,0.9982638888888888,576,0.3808724832214765,596,,synthetic
control,xgboost,4,0.0,9,fixed,0.4161447584629059,28515,0,0.0,0.008122810939712349,0.867236610510435,0.9693648116919618,0.9154611811546118,0.9860041239062158,13310,109,528,3449,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9493761140819964,2805,0.9947916666666666,576,0.3573825503355705,596,,synthetic
control,xgboost,4,0.0,9,recalibrated,0.3440275490283966,28515,0,0.0,0.009985840971756465,0.874528539099824,0.9629014396456257,0.9165898010278033,0.9860041239062158,13285,134,499,3478,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9529411764705882,2805,0.9965277777777778,576,0.3875838926174497,596,,synthetic
control,xgboost,4,0.0,10,fixed,0.4161447584629059,28515,0,0.0,0.008569938147402936,0.8710082977118431,0.9678681195864767,0.9168872419269455,0.9874454917324658,13304,115,513,3464,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9518716577540107,2805,0.9947916666666666,576,0.37080536912751677,596,,synthetic
control,xgboost,4,0.0,10,recalibrated,0.3580024838447571,28515,0,0.0,0.009985840971756465,0.8785516721146593,0.9630650496141124,0.9188691650230112,0.9874454917324658,13285,134,483,3494,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9557932263814617,2805,0.9965277777777778,576,0.401006711409396,596,,synthetic
control,xgboost,4,0.0,11,fixed,0.4161447584629059,28515,0,0.0,0.007601162530739995,0.868493839577571,0.9713160854893138,0.9170317270675694,0.986971915775565,13317,102,523,3454,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9508021390374332,2805,0.9965277777777778,576,0.3573825503355705,596,,synthetic
control,xgboost,4,0.0,11,recalibrated,0.3114606738090515,28515,0,0.0,0.009985840971756465,0.8810661302489313,0.9631665750412315,0.9202889034799737,0.986971915775565,13285,134,473,3504,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9590017825311943,2805,0.9965277777777778,576,0.40268456375838924,596,,synthetic
control,xgboost,4,0.0,12,fixed,0.4161447584629059,28515,0,0.0,0.00782472613458529,0.8639678149358814,0.9703473595029652,0.914072891726523,0.985928562743488,13314,105,541,3436,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9511586452762923,2805,0.9982638888888888,576,0.3238255033557047,596,,synthetic
control,xgboost,4,0.0,12,recalibrated,0.33586350083351135,28515,0,0.0,0.009985840971756465,0.8722655267789792,0.9628087704690536,0.9153034300791557,0.985928562743488,13285,134,508,3469,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9565062388591801,2805,0.9982638888888888,576,0.3540268456375839,596,,synthetic
control,xgboost,4,0.0,13,fixed,0.4161447584629059,28515,0,0.0,0.009166107757657053,0.8629620316821724,0.9654008438818565,0.9113117365905469,0.985851174621463,13296,123,545,3432,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9529411764705882,2805,0.9947916666666666,576,0.31208053691275167,596,,synthetic
