scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,0,fixed,0.4597638095238096,28515,0,0.0,,,0.0,0.0,1.827335399997537,0.008569938147402936,0.881820467689213,0.9682495858641634,0.9230161863403079,0.9905990670740092,13304,115,470,3507,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9458110516934046,2805,1.0,576,0.4664429530201342,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,0,recalibrated,0.4146617235645973,28515,0,0.0,,,0.0,0.0,1.827335399997537,0.009985840971756465,0.8946442041740005,0.9637053087757314,0.9278915112791758,0.9905990670740092,13285,134,419,3558,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9525846702317291,2805,1.0,576,0.5201342281879194,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,1,fixed,0.4597638095238096,28590,75,0.0026232948583420775,0.41827727317535196,0.0,0.0010989416382523013,6.420000863727182e-05,1.7563351999997394,0.01006036217303823,0.8775458888609504,0.9627586206896551,0.9181794264667192,0.9900282875134753,13284,135,487,3490,75,2329.078762024641,1240604.3751380444,355.8393963925781,75,2329.078762024641,1240604.3751380444,355.8393963925781,True,False,0.9440285204991087,2805,0.9965277777777778,576,0.44966442953020136,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,1,recalibrated,0.47040009455402365,28590,75,0.0026232948583420775,0.41827727317535196,0.0,0.0010989416382523013,6.420000863727182e-05,1.7563351999997394,0.009985840971756465,0.8742770932863968,0.9628911658820272,0.9164470216130733,0.9900282875134753,13285,134,500,3477,75,2329.078762024641,1240604.3751380444,355.8393963925781,75,2329.078762024641,1240604.3751380444,355.8393963925781,True,False,0.942602495543672,2805,0.9965277777777778,576,0.43456375838926176,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,2,fixed,0.4597638095238096,28665,150,0.0052328623757195184,0.4296983661622318,0.0,0.0022552828763547,6.699998630210757e-05,1.7596759000007296,0.008197332140994112,0.8898667337188836,0.9698547547273225,0.928140571728298,0.9927141331678689,13309,110,438,3539,150,5188.566674485803,2888506.1528582573,889.4865681325683,75,2859.4879124611616,1647901.777720213,533.6471717399902,True,False,0.9429590017825312,2805,0.9947916666666666,576,0.5385906040268457,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,2,recalibrated,0.41898132745422,28665,150,0.0052328623757195184,0.4296983661622318,0.0,0.0022552828763547,6.699998630210757e-05,1.7596759000007296,0.009985840971756465,0.9019361327633895,0.9639881752217145,0.9319303715250714,0.9927141331678689,13285,134,390,3587,150,5188.566674485803,2888506.1528582573,889.4865681325683,75,2859.4879124611616,1647901.777720213,533.6471717399902,True,False,0.9500891265597148,2805,0.9965277777777778,576,0.5838926174496645,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,3,fixed,0.4597638095238096,28740,225,0.007828810020876827,0.4344077964534392,0.0,0.0034160219611834163,6.980000762268901e-05,1.7719686000054935,0.009538713764065877,0.9077193864722153,0.965757089352595,0.9358392741412832,0.9931967127549473,13291,128,367,3610,225,8511.024163141847,4370326.881190777,1312.5445217614747,75,3322.457488656044,1481820.7283325195,423.05795362890626,True,False,0.9500891265597148,2805,1.0,576,0.6191275167785235,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,3,recalibrated,0.4458177626367253,28740,225,0.007828810020876827,0.4344077964534392,0.0,0.0034160219611834163,6.980000762268901e-05,1.7719686000054935,0.009985840971756465,0.9117425194870505,0.9643617021276596,0.9373142044720175,0.9931967127549473,13285,134,351,3626,225,8511.024163141847,4370326.881190777,1312.5445217614747,75,3322.457488656044,1481820.7283325195,423.05795362890626,True,False,0.9511586452762923,2805,1.0,576,0.6409395973154363,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,4,fixed,0.4597638095238096,28815,300,0.010411244143675169,0.42073214402704623,0.0,0.004406922777048888,7.080001523718238e-05,1.7413372000009986,0.008271853342275877,0.9132511943676138,0.9703446433342239,0.9409326424870467,0.9939387393002723,13308,111,345,3632,300,11198.12211009115,5674800.871109009,1931.772667584717,75,2687.097946949303,1304473.989918232,619.2281458232422,True,False,0.9461675579322638,2805,0.9982638888888888,576,0.6761744966442953,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,4,recalibrated,0.4047685437429234,28815,300,0.010411244143675169,0.42073214402704623,0.0,0.004406922777048888,7.080001523718238e-05,1.7413372000009986,0.009985840971756465,0.9321096303746542,0.9651132517573549,0.9483243796367357,0.9939387393002723,13285,134,270,3707,300,11198.12211009115,5674800.871109009,1931.772667584717,75,2687.097946949303,1304473.989918232,619.2281458232422,True,False,0.9511586452762923,2805,0.9982638888888888,576,0.7785234899328859,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,5,fixed,0.4597638095238096,28890,375,0.012980269989615784,0.42308287808091216,0.0,0.005533165315286994,6.639999628532678e-05,1.7882380000082776,0.00782472613458529,0.9145084234347498,0.9719401389631214,0.942350045342661,0.9936620158653895,13314,105,340,3637,375,14433.831727474928,7114823.670802116,2408.816957985108,75,3235.709617383778,1440022.7996931076,477.04429040039065,True,False,0.9461675579322638,2805,0.9965277777777778,576,0.6862416107382551,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,5,recalibrated,0.4119002925166591,28890,375,0.012980269989615784,0.42308287808091216,0.0,0.005533165315286994,6.639999628532678e-05,1.7882380000082776,0.009985840971756465,0.9326125220015087,0.9651314077543586,0.9485933503836318,0.9936620158653895,13285,134,268,3709,375,14433.831727474928,7114823.670802116,2408.816957985108,75,3235.709617383778,1440022.7996931076,477.04429040039065,True,False,0.9515151515151515,2805,0.9982638888888888,576,0.7802013422818792,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,6,fixed,0.4597638095238096,28965,450,0.015535991714137753,0.41748771221597747,0.0,0.006545320170524943,5.8999983593821526e-05,1.8179025999997975,0.010283925776883524,0.9180286648227307,0.9635787806809184,0.9402523821787279,0.993987879820856,13281,138,326,3651,450,16420.494644746184,8585717.11090231,2916.730928397217,75,1986.6629172712564,1470893.440100193,507.9139704121094,True,False,0.9525846702317291,2805,0.9982638888888888,576,0.6778523489932886,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,6,recalibrated,0.47023977065415695,28965,450,0.015535991714137753,0.41748771221597747,0.0,0.006545320170524943,5.8999983593821526e-05,1.8179025999997975,0.009985840971756465,0.9140055318078953,0.9644468028654816,0.9385489284792151,0.993987879820856,13285,134,342,3635,450,16420.494644746184,8585717.11090231,2916.730928397217,75,1986.6629172712564,1470893.440100193,507.9139704121094,True,False,0.9511586452762923,2805,0.9982638888888888,576,0.6577181208053692,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,7,fixed,0.4597638095238096,29040,525,0.018078512396694214,0.41710189408035947,0.0,0.007620890174847358,6.329998723231256e-05,1.7667167000035988,0.009985840971756465,0.9343726426954991,0.9651948051948052,0.9495336655168009,0.9943331563899831,13285,134,261,3716,525,19676.25554136187,10145156.556907177,3314.631262790772,75,3255.760896615684,1559439.4460048676,397.9003343935547,True,False,0.9472370766488414,2805,0.9965277777777778,576,0.8137583892617449,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,7,recalibrated,0.46168563566267096,29040,525,0.018078512396694214,0.41710189408035947,0.0,0.007620890174847358,6.329998723231256e-05,1.7667167000035988,0.009985840971756465,0.9336183052552175,0.965167663114115,0.9491308793456033,0.9943331563899831,13285,134,264,3713,525,19676.25554136187,10145156.556907177,3314.631262790772,75,3255.760896615684,1559439.4460048676,397.9003343935547,True,False,0.9472370766488414,2805,0.9965277777777778,576,0.8087248322147651,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,8,fixed,0.4597638095238096,29115,600,0.020607934054611025,0.4074400909432097,0.0,0.008500299383260381,6.620000931434333e-05,1.7767324999877019,0.00767568373202176,0.9436761377923057,0.9732883817427386,0.9582535427039448,0.994477729769035,13316,103,224,3753,600,21415.324502967298,11709740.781255484,3850.239228936524,75,1739.0689616054296,1564584.2243483067,535.6079661457519,True,False,0.9461675579322638,2805,0.9965277777777778,576,0.8808724832214765,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,8,recalibrated,0.4189656441237801,29115,600,0.020607934054611025,0.4074400909432097,0.0,0.008500299383260381,6.620000931434333e-05,1.7767324999877019,0.009985840971756465,0.9519738496354035,0.9658163265306122,0.9588451310624287,0.994477729769035,13285,134,191,3786,600,21415.324502967298,11709740.781255484,3850.239228936524,75,1739.0689616054296,1564584.2243483067,535.6079661457519,True,False,0.9522281639928699,2805,0.9982638888888888,576,0.9060402684563759,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,9,fixed,0.4597638095238096,29190,675,0.023124357656731757,0.4131816004781878,0.0,0.009685996122781596,6.570000550709665e-05,1.7801510999997845,0.007750204933303525,0.9326125220015087,0.972724888539208,0.9522464698331193,0.9945788027787695,13315,104,268,3709,675,24757.976077981293,13190786.578971624,4738.605205956055,75,3342.651575013995,1481045.7977161407,888.3659770195312,True,False,0.9440285204991087,2805,0.9982638888888888,576,0.8154362416107382,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,9,recalibrated,0.4088534258575657,29190,675,0.023124357656731757,0.4131816004781878,0.0,0.009685996122781596,6.570000550709665e-05,1.7801510999997845,0.009985840971756465,0.9471963791802867,0.9656498333760575,0.9563340949479563,0.9945788027787695,13285,134,210,3767,675,24757.976077981293,13190786.578971624,4738.605205956055,75,3342.651575013995,1481045.7977161407,888.3659770195312,True,False,0.9518716577540107,2805,0.9982638888888888,576,0.8758389261744967,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,10,fixed,0.4597638095238096,29265,750,0.025627883136852898,0.4124159802683645,0.0,0.010730940789153185,6.720000237692147e-05,1.7787532000074862,0.01006036217303823,0.9446819210460146,0.9653134635149023,0.9548862625492439,0.9943898951874388,13284,135,220,3757,750,27586.235152460635,14230627.524106741,5988.892181955079,75,2828.2590744793415,1039840.9451351166,1250.2869759990235,True,False,0.948306595365419,2805,0.9965277777777778,576,0.87751677852349,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,10,recalibrated,0.46257814026905897,29265,750,0.025627883136852898,0.4124159802683645,0.0,0.010730940789153185,6.720000237692147e-05,1.7787532000074862,0.009985840971756465,0.9439275836057329,0.9655349794238683,0.9546090273363,0.9943898951874388,13285,134,223,3754,750,27586.235152460635,14230627.524106741,5988.892181955079,75,2828.2590744793415,1039840.9451351166,1250.2869759990235,True,False,0.9479500891265598,2805,0.9965277777777778,576,0.8741610738255033,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,11,fixed,0.4597638095238096,29340,825,0.028118609406952964,0.40726688839702657,0.0,0.011645878445342872,6.700001540593803e-05,1.8068001000065124,0.010358446978165289,0.9476992708071411,0.964431934493347,0.9559923906150919,0.9943999949931946,13280,139,208,3769,825,30126.7832660079,15282184.393600225,6355.878396009766,75,2540.5481135472655,1051556.8694934845,366.9862140546875,True,False,0.9536541889483066,2805,0.9965277777777778,576,0.87248322147651,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,11,recalibrated,0.4721884828666579,29340,825,0.028118609406952964,0.40726688839702657,0.0,0.011645878445342872,6.700001540593803e-05,1.8068001000065124,0.009985840971756465,0.945184812672869,0.965579244798356,0.9552731893265566,0.9943999949931946,13285,134,218,3759,825,30126.7832660079,15282184.393600225,6355.878396009766,75,2540.5481135472655,1051556.8694934845,366.9862140546875,True,False,0.9518716577540107,2805,0.9965277777777778,576,0.8640939597315436,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
s0,rf,1,accumulate,fixed_ratio,auto_malicious,d1q_q0.99_g1,0.0,0.0,0.05,12,fixed,0.4597638095238096,29415,900,0.030596634370219276,0.41246583190520725,0.0,0.012851084647611134,5.780000356025994e-05,1.8201801000104751,0.010582010582010581,0.9416645712848881,0.9634679701569334,0.9524415055951169,0.9941206857082295,13277,142,232,3745,900,33947.72674739361,17068970.897607565,7477.2188704886485,75,3820.943481385708,1786786.5040073395,1121.3404744788818,True,False,0.9511586452762923,2805,1.0,576,0.8406040268456376,596,,1.0,synthetic,8.0,1.0,all,0.99,median,3.269453016042344,
