scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,0,fixed,0.4774670898914337,28515,0,0.0,,,0.0,0.0,0.4586166000008234,0.006781429316640584,0.8581845612270556,0.9740296803652968,0.9124448603127925,0.9867628741558769,13328,91,564,3413,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.946524064171123,2805,0.9913194444444444,576,0.313758389261745,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,0,recalibrated,0.3183348774909973,28515,0,0.0,,,0.0,0.0,0.4586166000008234,0.009985840971756465,0.8755343223535328,0.9629424778761062,0.917160542605031,0.9867628741558769,13285,134,495,3482,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9586452762923351,2805,0.9930555555555556,576,0.37080536912751677,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,1,fixed,0.4774670898914337,28590,75,0.0026232948583420775,0.2104660686353399,0.0,0.0005532604578691237,5.3400002798298374e-05,0.4571456000012404,0.00782472613458529,0.8629620316821724,0.9703138252756573,0.9134948096885813,0.9879384709340051,13314,105,545,3432,75,3066.8855159133673,1574055.6328811646,273.5518785356445,75,3066.8855159133673,1574055.6328811646,273.5518785356445,True,False,0.948306595365419,2805,0.9965277777777778,576,0.33221476510067116,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,1,recalibrated,0.40211278200149536,28590,75,0.0026232948583420775,0.2104660686353399,0.0,0.0005532604578691237,5.3400002798298374e-05,0.4571456000012404,0.009985840971756465,0.8727684184058335,0.9628294036061026,0.9155895542073331,0.9879384709340051,13285,134,506,3471,75,3066.8855159133673,1574055.6328811646,273.5518785356445,75,3066.8855159133673,1574055.6328811646,273.5518785356445,True,False,0.9540106951871657,2805,0.9965277777777778,576,0.37080536912751677,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,2,fixed,0.4774670898914337,28665,150,0.0052328623757195184,0.2061362391820991,0.0,0.0010831823043426266,5.7199998991563916e-05,0.5174872999996296,0.006781429316640584,0.865979381443299,0.9742574257425742,0.9169329073482427,0.9890485688790731,13328,91,533,3444,150,5237.436337336898,2790627.6580266953,831.9469761020507,75,2170.5508214235306,1216572.0251455307,558.3950975664062,True,False,0.9461675579322638,2805,0.9947916666666666,576,0.3640939597315436,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,2,recalibrated,0.3376213610172272,28665,150,0.0052328623757195184,0.2061362391820991,0.0,0.0010831823043426266,5.7199998991563916e-05,0.5174872999996296,0.009985840971756465,0.881820467689213,0.9631969239219994,0.920714098188501,0.9890485688790731,13285,134,470,3507,150,5237.436337336898,2790627.6580266953,831.9469761020507,75,2170.5508214235306,1216572.0251455307,558.3950975664062,True,False,0.9582887700534759,2805,0.9982638888888888,576,0.40939597315436244,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,3,fixed,0.4774670898914337,28740,225,0.007828810020876827,0.22191989829232203,0.0,0.001748016664481276,7.840000034775585e-05,0.43473290000110865,0.00670690811535882,0.8617048026150365,0.9744100085299972,0.914598345342941,0.987502876992442,13329,90,550,3427,225,7714.769318971783,3766094.039364338,1326.3694878305664,75,2477.332981634885,975466.3813376427,494.42251172851564,True,False,0.9450980392156862,2805,0.9947916666666666,576,0.34060402684563756,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,3,recalibrated,0.3613317310810089,28740,225,0.007828810020876827,0.22191989829232203,0.0,0.001748016664481276,7.840000034775585e-05,0.43473290000110865,0.009985840971756465,0.87578576816696,0.9629527232513132,0.9173031340531999,0.987502876992442,13285,134,494,3483,225,7714.769318971783,3766094.039364338,1326.3694878305664,75,2477.332981634885,975466.3813376427,494.42251172851564,True,False,0.9515151515151515,2805,0.9982638888888888,576,0.401006711409396,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,4,fixed,0.4774670898914337,28815,300,0.010411244143675169,0.23888267931275395,0.0,0.002506931266228557,6.360000043059699e-05,0.47041170000011334,0.007452120128176466,0.8687452853909983,0.9718706047819972,0.9174190122145512,0.9915398574218479,13319,100,522,3455,300,11172.288450181484,5162363.735927105,2233.408567902832,75,3457.5191312097013,1396269.696562767,907.0390800722656,True,False,0.9475935828877006,2805,0.9947916666666666,576,0.37583892617449666,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1fixed_E8_g2,0.0,0.0,0.05,4,recalibrated,0.35179293155670166,28815,300,0.010411244143675169,0.23888267931275395,0.0,0.002506931266228557,6.360000043059699e-05,0.47041170000011334,0.009985840971756465,0.8858436007040483,0.9633579436696746,0.9229761592873986,0.9915398574218479,13285,134,454,3523,300,11172.288450181484,5162363.735927105,2233.408567902832,75,3457.5191312097013,1396269.696562767,907.0390800722656,True,False,0.9557932263814617,2805,0.9965277777777778,576,0.44966442953020136,596,,1.0,synthetic,8.0,2.0,all,0.0,fixed,8.0,
