scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,0,fixed,0.4774670898914337,28515,0,0.0,,,0.0,0.0,2.657021699997131,0.006781429316640584,0.8581845612270556,0.9740296803652968,0.9124448603127925,0.9867628741558769,13328,91,564,3413,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.946524064171123,2805,0.9913194444444444,576,0.313758389261745,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,0,recalibrated,0.3183348774909973,28515,0,0.0,,,0.0,0.0,2.657021699997131,0.009985840971756465,0.8755343223535328,0.9629424778761062,0.917160542605031,0.9867628741558769,13285,134,495,3482,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9586452762923351,2805,0.9930555555555556,576,0.37080536912751677,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,1,fixed,0.4774670898914337,28871,356,0.012330712479650861,0.7066550391188829,0.0,0.008745192804550283,0.00017800000205170363,0.516386399998737,0.007303077725612937,0.9502137289414131,0.9747227237554811,0.9623121976063153,0.9970188708780683,13321,98,198,3779,356,13023.122235611081,6302951.007189274,2884.705539164551,356,13023.122235611081,6302951.007189274,2884.705539164551,True,False,0.9472370766488414,2805,0.9913194444444444,576,0.924496644295302,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,1,recalibrated,0.3679001033306122,28871,356,0.012330712479650861,0.7066550391188829,0.0,0.008745192804550283,0.00017800000205170363,0.516386399998737,0.009985840971756465,0.9580085491576565,0.966024340770791,0.961999747506628,0.9970188708780683,13285,134,167,3810,356,13023.122235611081,6302951.007189274,2884.705539164551,356,13023.122235611081,6302951.007189274,2884.705539164551,True,False,0.9550802139037433,2805,0.9947916666666666,576,0.9362416107382551,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,2,fixed,0.4774670898914337,29228,713,0.0243944163131244,0.7093189665736184,0.0,0.01742699690236956,8.979999620351009e-05,0.547992299998441,0.00767568373202176,0.9567513200905204,0.9736438075742068,0.9651236525047558,0.9972889985214372,13316,103,172,3805,713,26117.459335446358,14899892.588972569,6311.5933658488775,357,13094.337099835277,8596941.581783295,3426.8878266843262,True,False,0.9508021390374332,2805,0.9947916666666666,576,0.947986577181208,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,2,recalibrated,0.3659267723560333,29228,713,0.0243944163131244,0.7093189665736184,0.0,0.01742699690236956,8.979999620351009e-05,0.547992299998441,0.009985840971756465,0.9645461403067639,0.9662468513853905,0.9653957468227004,0.9972889985214372,13285,134,141,3836,713,26117.459335446358,14899892.588972569,6311.5933658488775,357,13094.337099835277,8596941.581783295,3426.8878266843262,True,False,0.9597147950089127,2805,0.9965277777777778,576,0.9563758389261745,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,3,fixed,0.4774670898914337,29584,1069,0.03613439697133586,0.7094574686519778,0.0,0.025907813032659488,8.460000026389025e-05,0.4735599999985425,0.007601162530739995,0.959768669851647,0.9739729522837458,0.9668186423505571,0.9975561280777542,13317,102,160,3817,1069,39377.31317487918,21372726.124622583,8069.480743905762,356,13259.85383943282,6472833.535650015,1757.8873780568847,True,False,0.9493761140819964,2805,0.9965277777777778,576,0.9731543624161074,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,3,recalibrated,0.388389527797699,29584,1069,0.03613439697133586,0.7094574686519778,0.0,0.025907813032659488,8.460000026389025e-05,0.4735599999985425,0.009985840971756465,0.9668091526276088,0.9663231967831113,0.9665661136249372,0.9975561280777542,13285,134,132,3845,1069,39377.31317487918,21372726.124622583,8069.480743905762,356,13259.85383943282,6472833.535650015,1757.8873780568847,True,False,0.9579322638146167,2805,0.9982638888888888,576,0.9781879194630873,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,4,fixed,0.4774670898914337,29941,1426,0.04762699976620687,0.7126177527570408,0.0,0.03441083190718408,0.00014119999832473695,0.4851486000006844,0.007899247335867055,0.9622831279859191,0.9730485634375795,0.9676359039190898,0.9975579269299852,13313,106,150,3827,1426,53426.94454812072,28775825.22079444,10182.218421678223,357,14049.631373241544,7403099.096171856,2112.7376777724608,True,False,0.9515151515151515,2805,0.9965277777777778,576,0.9798657718120806,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,d1q_q0.5_g1,0.0,0.0,0.2,4,recalibrated,0.3977620601654053,29941,1426,0.04762699976620687,0.7126177527570408,0.0,0.03441083190718408,0.00014119999832473695,0.4851486000006844,0.009985840971756465,0.967060598441036,0.9663316582914573,0.9666959909513636,0.9975579269299852,13285,134,131,3846,1426,53426.94454812072,28775825.22079444,10182.218421678223,357,14049.631373241544,7403099.096171856,2112.7376777724608,True,False,0.9575757575757575,2805,0.9982638888888888,576,0.9815436241610739,596,,1.0,synthetic,8.0,1.0,all,0.5,median,1.1278651780965674,
