scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,0,fixed,0.3805566430091858,28515,0,0.0,,,0.0,0.0,3.5347135000010894,0.008942544153811759,0.8697510686447071,0.9664710813076278,0.9155637903652727,0.986425017852203,13299,120,518,3459,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9561497326203209,2805,0.9982638888888888,576,0.3389261744966443,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,0,recalibrated,0.3338407576084137,28515,0,0.0,,,0.0,0.0,3.5347135000010894,0.009985840971756465,0.8767915514206689,0.9629936481634908,0.9178731245064491,0.986425017852203,13285,134,490,3487,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9590017825311943,2805,0.9982638888888888,576,0.3724832214765101,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,1,fixed,0.3805566430091858,28871,356,0.012330712479650861,0.25,0.0,0.0031114529436442454,3.780000042752363e-05,0.5892270000003919,0.009240628958938818,0.9416645712848881,0.9679503747738434,0.9546265613051237,0.9967295929536559,13295,124,232,3745,356,12995.724682748318,8482647.422108412,2288.7213910229493,356,12995.724682748318,8482647.422108412,2288.7213910229493,True,False,0.9561497326203209,2805,1.0,576,0.8171140939597316,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,1,recalibrated,0.3501330018043518,28871,356,0.012330712479650861,0.25,0.0,0.0031114529436442454,3.780000042752363e-05,0.5892270000003919,0.009985840971756465,0.9454362584862962,0.965588084232152,0.9554059204675391,0.9967295929536559,13285,134,217,3760,356,12995.724682748318,8482647.422108412,2288.7213910229493,356,12995.724682748318,8482647.422108412,2288.7213910229493,True,False,0.9593582887700535,2805,1.0,576,0.8271812080536913,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,2,fixed,0.3805566430091858,29228,713,0.0243944163131244,0.25,0.0,0.006212262465910972,2.779999704216607e-05,0.5295325000006414,0.01006036217303823,0.9587628865979382,0.96580547112462,0.9622712933753943,0.9970334678144018,13284,135,164,3813,713,25209.0964961797,14774851.29030633,4452.582075630859,357,12213.371813431382,6292203.868197918,2163.86068460791,True,False,0.9554367201426025,2805,0.9982638888888888,576,0.9362416107382551,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,2,recalibrated,0.3812031149864197,29228,713,0.0243944163131244,0.25,0.0,0.006212262465910972,2.779999704216607e-05,0.5295325000006414,0.009985840971756465,0.9587628865979382,0.966050164682037,0.9623927309439677,0.9970334678144018,13285,134,164,3813,713,25209.0964961797,14774851.29030633,4452.582075630859,357,12213.371813431382,6292203.868197918,2163.86068460791,True,False,0.9554367201426025,2805,0.9982638888888888,576,0.9362416107382551,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,3,fixed,0.3805566430091858,29584,1069,0.03613439697133586,0.25,0.0,0.009285236560727531,3.0400002287933603e-05,0.5967889999992622,0.009836798569192935,0.9615287905456374,0.9666329625884732,0.9640741207613766,0.997295800431436,13287,132,153,3824,1069,38462.67565049231,20998593.24087596,7065.586498689208,356,13253.57915431261,6223741.95056963,2613.0044230583494,True,False,0.9554367201426025,2805,0.9965277777777778,576,0.9563758389261745,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,3,recalibrated,0.37820711731910706,29584,1069,0.03613439697133586,0.25,0.0,0.009285236560727531,3.0400002287933603e-05,0.5967889999992622,0.009985840971756465,0.9615287905456374,0.966144517433047,0.9638311279143038,0.997295800431436,13285,134,153,3824,1069,38462.67565049231,20998593.24087596,7065.586498689208,356,13253.57915431261,6223741.95056963,2613.0044230583494,True,False,0.9554367201426025,2805,0.9965277777777778,576,0.9563758389261745,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,4,fixed,0.3805566430091858,29941,1426,0.04762699976620687,0.25,0.0,0.012347817051417487,2.4199998733820394e-05,0.5417626000016753,0.008718980549966466,0.9640432486799094,0.9703872437357631,0.967204843592331,0.9973653560510382,13302,117,143,3834,1426,51236.68249002844,29086271.06810999,9268.674568489501,357,12774.00683953613,8087677.82723403,2203.088069800293,True,False,0.9550802139037433,2805,0.9982638888888888,576,0.9731543624161074,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,4,recalibrated,0.33733099699020386,29941,1426,0.04762699976620687,0.25,0.0,0.012347817051417487,2.4199998733820394e-05,0.5417626000016753,0.009985840971756465,0.967060598441036,0.9663316582914573,0.9666959909513636,0.9973653560510382,13285,134,131,3846,1426,51236.68249002844,29086271.06810999,9268.674568489501,357,12774.00683953613,8087677.82723403,2203.088069800293,True,False,0.9590017825311943,2805,0.9982638888888888,576,0.9748322147651006,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,5,fixed,0.3805566430091858,30297,1782,0.058817704723239925,0.25,0.0,0.015383021701973377,1.9600000086938962e-05,0.44475579999925685,0.008718980549966466,0.9635403570530551,0.9703722461382629,0.9669442341660358,0.9974328879618803,13302,117,145,3832,1782,64496.40482210368,35694008.11656952,11314.029717524414,356,13259.722332075238,6607737.04845953,2045.355149034912,True,False,0.9547237076648841,2805,0.9965277777777778,576,0.9731543624161074,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,5,recalibrated,0.3449498116970062,30297,1782,0.058817704723239925,0.25,0.0,0.015383021701973377,1.9600000086938962e-05,0.44475579999925685,0.009985840971756465,0.9663062610007543,0.9663062610007543,0.9663062610007543,0.9974328879618803,13285,134,134,3843,1782,64496.40482210368,35694008.11656952,11314.029717524414,356,13259.722332075238,6607737.04845953,2045.355149034912,True,False,0.9579322638146167,2805,0.9965277777777778,576,0.9765100671140939,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,6,fixed,0.3805566430091858,30654,2139,0.06977882168721863,0.25,0.0,0.018408075800996567,3.119999746559188e-05,0.5611490000010235,0.009166107757657053,0.9617802363590646,0.9688449848024316,0.9652996845425869,0.9975197387961627,13296,123,152,3825,2139,77766.7486275062,42818733.90327883,13859.926391480956,357,13270.343805402517,7124725.786709309,2545.896673956543,True,False,0.9532976827094474,2805,0.9947916666666666,576,0.9697986577181208,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,6,recalibrated,0.34222346544265747,30654,2139,0.06977882168721863,0.25,0.0,0.018408075800996567,3.119999746559188e-05,0.5611490000010235,0.009985840971756465,0.9647975861201911,0.9662553512969025,0.9655259184700554,0.9975197387961627,13285,134,140,3837,2139,77766.7486275062,42818733.90327883,13859.926391480956,357,13270.343805402517,7124725.786709309,2545.896673956543,True,False,0.9565062388591801,2805,0.9965277777777778,576,0.9731543624161074,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,7,fixed,0.3805566430091858,31010,2495,0.08045791680103193,0.25,0.0,0.021406203080090943,2.540000423323363e-05,0.5679043999989517,0.009389671361502348,0.9653004777470455,0.9682219419924338,0.9667590027700831,0.9974477191237648,13293,126,138,3839,2495,90146.51530177891,48937064.01501489,16141.729786164062,356,12379.766674272716,6118330.111736059,2281.8033946831056,True,False,0.9550802139037433,2805,0.9982638888888888,576,0.9815436241610739,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,7,recalibrated,0.3604384958744049,31010,2495,0.08045791680103193,0.25,0.0,0.021406203080090943,2.540000423323363e-05,0.5679043999989517,0.009985840971756465,0.9658033693738999,0.9662893081761006,0.9660462776659959,0.9974477191237648,13285,134,136,3841,2495,90146.51530177891,48937064.01501489,16141.729786164062,356,12379.766674272716,6118330.111736059,2281.8033946831056,True,False,0.9554367201426025,2805,0.9982638888888888,576,0.9832214765100671,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,8,fixed,0.3805566430091858,31367,2852,0.09092358210858546,0.25,0.0,0.0243944163131244,2.2700001863995567e-05,0.49651689999882365,0.009985840971756465,0.9642946944933367,0.9662383471907281,0.9652655424112762,0.9974972999883843,13285,134,142,3835,2852,103292.258213453,54103808.35977912,18399.155959351316,357,13145.742911674082,5166744.344764233,2257.4261731872557,True,False,0.9547237076648841,2805,0.9965277777777778,576,0.9781879194630873,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,8,recalibrated,0.38514021039009094,31367,2852,0.09092358210858546,0.25,0.0,0.0243944163131244,2.2700001863995567e-05,0.49651689999882365,0.009985840971756465,0.9640432486799094,0.9662298387096774,0.9651353052234108,0.9974972999883843,13285,134,143,3834,2852,103292.258213453,54103808.35977912,18399.155959351316,357,13145.742911674082,5166744.344764233,2257.4261731872557,True,False,0.9547237076648841,2805,0.9965277777777778,576,0.9765100671140939,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,9,fixed,0.3805566430091858,31723,3208,0.10112536645336191,0.25,0.0,0.02735614148787393,2.7800000680144876e-05,0.534906899996713,0.010582010582010581,0.9655519235604727,0.9643395278754395,0.9649453448925746,0.9975612904088965,13277,142,137,3840,3208,114962.39021987468,61173222.26851106,21424.95423095764,356,11670.132006421685,7069413.908731937,3025.7982716063234,True,False,0.9568627450980393,2805,0.9913194444444444,576,0.9815436241610739,596,,1.0,synthetic,,,,,,,0.25
s0,xgboost,3,accumulate,fixed_ratio,auto_malicious,uniform_w0.25,0.0,0.0,0.2,9,recalibrated,0.39836442470550537,31723,3208,0.10112536645336191,0.25,0.0,0.02735614148787393,2.7800000680144876e-05,0.534906899996713,0.009985840971756465,0.9645461403067639,0.9662468513853905,0.9653957468227004,0.9975612904088965,13285,134,141,3836,3208,114962.39021987468,61173222.26851106,21424.95423095764,356,11670.132006421685,7069413.908731937,3025.7982716063234,True,False,0.9554367201426025,2805,0.9913194444444444,576,0.9815436241610739,596,,1.0,synthetic,,,,,,,0.25
