calibration,model,threshold_mode,metric_delta,poison_ratio,contrast,n_seeds,mean,sd,t_paired,sigma_control,two_sigma
old,rf,fixed,fpr,0.05,"a1 (benign->malicious, jittered)",5,0.038375000000000006,0.005203154091510262,16.49174849089422,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.05,"a1truth (same rows, true label)",5,-0.009980000000000001,0.013481276367614457,-1.655329792738072,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.05,"s0j (attack->malicious, jittered)",5,0.013114999999999998,0.009989816690009885,2.9355925573926345,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.05,s0 (attack->malicious),5,0.008575,0.015741495719911753,1.2180724912186545,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,0.025260000000000005,0.011264693182683675,5.014169156286625,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,0.048354999999999995,0.012525391710441636,8.632469910052013,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.2,"a1 (benign->malicious, jittered)",5,0.0539,0.007642009716036745,15.771252388533231,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.2,"a1truth (same rows, true label)",5,-0.01588,0.012552382741933902,-2.8288461412248127,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.2,"s0j (attack->malicious, jittered)",5,0.020819999999999998,0.015776192506431964,2.9509614105282465,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.2,s0 (attack->malicious),5,0.026500000000000003,0.017491792718300776,3.3876345528464955,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,0.03308000000000001,0.009882139823945016,7.485132776249679,0.01482329764462768,0.02964659528925536
old,rf,fixed,fpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,0.06978,0.006247384452712992,24.975703776670322,0.01482329764462768,0.02964659528925536
old,rf,recalibrated,tpr,0.05,"a1 (benign->malicious, jittered)",5,-0.08530436897138685,0.025496744274171153,-7.481204884302649,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.05,"a1truth (same rows, true label)",5,0.015173867228661764,0.04947871221354414,0.6857453859835143,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.05,"s0j (attack->malicious, jittered)",5,-0.002642457647726326,0.029683328383620717,-0.19905836877917948,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.05,s0 (attack->malicious),5,0.05829618221609793,0.03249795737562258,4.011151370445542,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,-0.08266191132366052,0.01781967304861601,-10.372673638034016,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,-0.10047823620004862,0.05313016588497127,-4.228787218338842,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.2,"a1 (benign->malicious, jittered)",5,-0.1089892194212531,0.03841158636757059,-6.344630005864971,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.2,"a1truth (same rows, true label)",5,0.014152549242117219,0.028909549992076726,1.094657722758068,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.2,"s0j (attack->malicious, jittered)",5,-0.0021236929561481376,0.028619279738184705,-0.165927369826461,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.2,s0 (attack->malicious),5,0.0786576963605415,0.03706594120232546,4.745163627591195,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,-0.10686552646510497,0.02691754616514428,-8.877428134095918,0.030293837226850393,0.060587674453700786
old,rf,recalibrated,tpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,-0.12314176866337032,0.016104800717672146,-17.097595333713024,0.030293837226850393,0.060587674453700786
old,xgboost,fixed,fpr,0.05,"a1 (benign->malicious, jittered)",5,0.00332,0.015467116327874434,0.4799696031199055,0.009977865822787507,0.019955731645575014
old,xgboost,fixed,fpr,0.05,"a1truth (same rows, true label)",5,-0.017635,0.008425493308999776,-4.680207714495242,0.009977865822787507,0.019955731645575014
old,xgboost,fixed,fpr,0.05,"s0j (attack->malicious, jittered)",5,-0.002559999999999999,0.015171628538162936,-0.3773051790716063,0.009977865822787507,0.019955731645575014
old,xgboost,fixed,fpr,0.05,s0 (attack->malicious),5,0.028254999999999995,0.010448974231952153,6.046536176829367,0.009977865822787507,0.019955731645575014
old,xgboost,fixed,fpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,0.005879999999999999,0.017064092416533616,0.7705115154533164,0.009977865822787507,0.019955731645575014
old,xgboost,fixed,fpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,0.020955,0.014347674027520975,3.2658118924802566,0.009977865822787507,0.019955731645575014
